controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_thrust_N,max_abs_torque_Nm
pid,1,stochastic_dev_0009,True,False,,1.0270182306933766,0.15128191253578446,,,0.0024897717749470883,0.04871108862077609,0.009793454962178117,131.6024115718623,4.851066465908089
pid,1,stochastic_dev_0010,True,False,,0.0799258728800671,1.1161467434397394,,,0.08688939001794753,0.23013635087272924,0.030974032203136298,144.8736950430846,0.20207888361632462
pid,1,stochastic_dev_0011,True,True,1.2649999999999997,0.051741262438086466,0.18003450659985495,,,0.003816492836124242,0.053222196906027835,0.007295124569232764,136.1758018775813,0.04805485840313972
pid,1,stochastic_dev_0012,True,True,2.7350000000000003,0.06296553922487401,0.32607227771796216,,,0.01333448925660502,0.10605452642563962,0.12053742302815787,129.8872326813395,0.19237903634606102
pid,1,stochastic_dev_0013,True,True,2.705,0.07172898269677705,0.6358604363032283,,,0.03197346151860789,0.14533282422981994,0.12313611546702936,129.89844649082067,0.21125142087684234
pid,1,stochastic_dev_0014,True,False,,0.5910110795342202,0.5718417713397072,,,0.025784023088091208,0.12901688967656352,0.01897974478108788,132.51637379655222,4.069131532180753
pid,1,stochastic_dev_0015,True,False,,0.5903952755389115,0.1337249662738211,,,0.007556723356781545,0.08349238369854689,0.013434607611964508,132.51707232854847,4.070505356020306
pid,1,stochastic_dev_0016,True,True,1.1450000000000005,0.041576467405288905,0.5761076060920545,,,0.017338000970145664,0.08881912742351587,0.014991881732198186,139.8165653678757,0.12014170456475853
pid,1,stochastic_dev_0017,True,True,1.0700000000000003,0.033350182501179736,0.18723594972361352,,,0.016148058267175327,0.10346829259986161,0.017741915866159835,133.69049566453447,0.03400618097838339
pid,1,stochastic_dev_0018,True,True,6.960000000000001,0.11536641061976148,0.6628978718750805,,,0.0388802576384239,0.205787551183971,0.20260672223414578,129.89662079695952,0.3140446856780168
pid,1,stochastic_dev_0019,True,False,,0.1058516866299148,0.8009673635344463,,,0.05376721277098486,0.184543153957191,0.19949086293271598,129.9059601524018,0.30511464946949235
pid,1,ramp_dev_0_to_3p0,True,True,0.0,0.11248397306057331,0.3366773789245048,0.13029909377897284,0.183741825636707,0.25096894094812305,0.23876605819790703,0.0036094828659288813,129.9277524805717,0.07023457525276014
pid,2,calm__+x_r0.15,True,True,2.67,0.06633830912203731,0.5427706721299442,,,0.017105245004355066,0.12128095460467453,0.12075,129.8914977014887,0.19033635772543597
pid,2,wind_1p5__+x_r0.15,True,True,4.1450000000000005,0.07109635720746318,0.6478887984865325,,,0.05208902625460969,0.1154409684777236,0.1217971694716542,129.90083198046992,0.21395099232578654
pid,2,wind_3p0__+x_r0.15,True,False,,0.20184210903828925,1.1699531352182393,,,0.5969647256525517,0.30984975839458756,0.1255796541593101,129.96767938128713,0.2878783967440209
pid,2,calm__-x_r0.15,True,True,2.67,0.06633867546994872,0.5427706721299442,,,0.017105245004355066,0.12128095460467453,0.12075,129.8914977014887,0.19033635772543597
pid,2,wind_1p5__-x_r0.15,True,True,3.2,0.08933888888125688,0.31565794700831096,,,0.04388827828836042,0.16077258321983992,0.1197028305283458,129.90060278005413,0.16670194233775054
pid,2,wind_3p0__-x_r0.15,True,False,,0.2500901178487908,0.7910562174399834,,,0.5906028231866849,0.3063842782936917,0.11592034584068989,130.00167415399886,0.17306717735123298
pid,2,calm__+y_r0.15,True,False,,1.4611399946469152,0.0,,,0.0,0.0,0.0,136.53446119399752,4.070504685932759
pid,2,wind_1p5__+y_r0.15,True,False,,0.5924182656766015,0.2941962242604798,,,0.03500269002764951,0.0788018496535196,0.0060931763856398695,132.5160203252069,4.070167370483358
pid,2,wind_3p0__+y_r0.15,True,False,,0.6284778063464004,0.9480459383821986,,,0.5880382751013187,0.3052287195558843,0.02442367632324384,132.51513101533882,4.0682355156678796
pid,2,calm__-y_r0.15,True,False,,1.4611399946469152,0.0,,,0.0,0.0,0.0,136.53446119399752,4.070504685932759
pid,2,wind_1p5__-y_r0.15,True,False,,0.5924182656766015,0.2941962242604798,,,0.03500269002764951,0.0788018496535196,0.0060931763856398695,132.5160203252069,4.070167370483358
pid,2,wind_3p0__-y_r0.15,True,False,,0.6284778063464004,0.9480459383821986,,,0.5880382751013187,0.3052287195558843,0.02442367632324384,132.51513101533882,4.0682355156678796
pid,2,calm__+z_r0.15,True,True,1.065,0.029206261724303247,0.0,,,0.0,0.0,0.0,139.8144,0.0
pid,2,wind_1p5__+z_r0.15,True,True,4.025,0.05925518479462291,0.30083858614542797,,,0.034790754700550916,0.0788018496535196,0.0060931763856398695,139.81815999685395,0.053203983883370526
pid,2,wind_3p0__+z_r0.15,True,False,,0.2194761404962819,0.967352819522263,,,0.5826358749032295,0.3052287195558843,0.02442367632324384,139.8729047545789,0.17306717735123298
pid,2,calm__-z_r0.15,True,True,1.065,0.029206261724303375,0.0,,,0.0,0.0,0.0,133.69032302575295,0.0
pid,2,wind_1p5__-z_r0.15,True,True,4.035,0.059341538643114325,0.2875129041002088,,,0.03471845152472319,0.0788018496535196,0.0060931763856398695,133.69204030258007,0.053203983883370526
pid,2,wind_3p0__-z_r0.15,True,False,,0.2198962002897348,0.9285096646633129,,,0.5830950361481961,0.3052287195558843,0.02442367632324384,133.72646498979267,0.17306717735123298
pid,2,calm__+x_r0.25,True,True,8.255,0.10975625862741803,0.8741228738489014,,,0.04722039338310141,0.2021676855949706,0.20124999999999998,129.90362364142098,0.3171845557106885
pid,2,wind_1p5__+x_r0.25,True,False,,0.10452226905773845,0.9120042659979185,,,0.07896810542647476,0.16389948168398327,0.2022971694716542,129.91516276921382,0.34080227406593033
pid,2,wind_3p0__+x_r0.25,True,False,,0.20378150120119662,1.3620790463496484,,,0.6207108421122414,0.3363196442830859,0.20607965415931012,129.98777584419432,0.41467034730688446
pid,2,calm__-x_r0.25,True,True,8.255,0.10975596697710945,0.8741228738489012,,,0.047220393383101425,0.20216768559497061,0.20125,129.90362364142098,0.31718455571068854
pid,2,wind_1p5__-x_r0.25,True,True,2.9699999999999998,0.12556250484736103,0.5428500861204276,,,0.0644599189961734,0.24127258321983994,0.2002028305283458,129.90890804003703,0.2935338820319174
pid,2,wind_3p0__-x_r0.25,True,False,,0.2791700454513442,0.7724966735693166,,,0.6125746015108422,0.38688427829369176,0.19642034584068996,130.03542769452065,0.21915699925089893
pid,2,calm__+y_r0.25,True,False,,1.8609632382557795,0.0,,,0.0,0.0,0.0,142.3231803422361,4.868918631220175
pid,2,wind_1p5__+y_r0.25,True,False,,1.0281733347125281,0.29306176921351995,,,0.035225037852033944,0.0788018496535196,0.0060931763856398695,131.60221143067866,4.851136489091611
pid,2,wind_3p0__+y_r0.25,True,False,,1.0483755720351118,0.9464489065853938,,,0.5918388402698778,0.3052287195558843,0.02442367632324384,131.63019273442433,4.8494362325203415
pid,2,calm__-y_r0.25,True,False,,1.8609632382557795,0.0,,,0.0,0.0,0.0,142.3231803422361,4.868918631220175
pid,2,wind_1p5__-y_r0.25,True,False,,1.0281733347125281,0.29306176921351995,,,0.035225037852033944,0.0788018496535196,0.0060931763856398695,131.60221143067866,4.851136489091611
pid,2,wind_3p0__-y_r0.25,True,False,,1.0483755720351118,0.9464489065853938,,,0.5918388402698778,0.3052287195558843,0.02442367632324384,131.63019273442433,4.8494362325203415
pid,2,calm__+z_r0.25,True,True,1.2600000000000002,0.050905701662481276,0.0,,,0.0,0.0,0.0,144.86215,0.0
pid,2,wind_1p5__+z_r0.25,True,True,4.025,0.07241239714696335,0.3043803313372691,,,0.03478617928153688,0.0788018496535196,0.0060931763856398695,144.86674512355071,0.053203983883370526
pid,2,wind_3p0__+z_r0.25,True,False,,0.2231771512747638,0.9788825145270604,,,0.5821479561059054,0.3052287195558843,0.02442367632324384,144.93735831845711,0.17306717735123298
pid,2,calm__-z_r0.25,True,True,1.2600000000000002,0.050905701662481435,0.0,,,0.0,0.0,0.0,136.1756882870477,0.0
