candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,task_success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,control_effort,ramp_peak_position_error_m,ramp_steady_state_position_error_m,gain_norm
lqr_029,8,8,4,1.0,0.5,7.08,0.13463211989693988,1.0057566376542146,0.47723213236855105,0.0,0.0,38.9830452476638
lqr_030,8,8,2,1.0,0.25,8.155,0.13025314621191825,1.3113589888724264,0.6911418537076964,0.0,0.0,43.62854647655452
lqr_031,8,8,2,1.0,0.25,8.105,0.12985445238707535,1.2973227546263655,0.684239101137708,0.0,0.0,43.916615397598555
lqr_032,8,8,4,1.0,0.5,4.6274999999999995,0.14771815556298123,0.7627617837596382,0.3847167166823319,0.0,0.0,36.805108267163455
lqr_033,8,8,4,1.0,0.5,4.225,0.14844914400834938,0.7339410103633922,0.38001921864311616,0.0,0.0,37.99323651524478
lqr_034,8,8,5,1.0,0.625,4.945,0.1353378163743399,0.9345298798488102,0.475543250995153,0.0,0.0,41.26456172983611
lqr_035,8,8,5,1.0,0.625,4.815,0.13517351361168764,0.909377730928952,0.46973388350642814,0.0,0.0,42.05695573917542
lqr_036,8,8,2,1.0,0.25,6.5,0.12859558776191535,1.197692564134299,0.6906395899344592,0.0,0.0,46.2193732805823
lqr_037,8,8,2,1.0,0.25,6.44,0.1281838451284782,1.178836158414676,0.6775431777719301,0.0,0.0,46.730853140641
lqr_038,8,8,0,1.0,0.0,,0.12955837618186936,1.6533377340383786,1.571459387783723,0.0,0.0,51.63807111820698
lqr_039,8,8,0,1.0,0.0,,0.1270962996545909,1.6087903643145958,1.7598130813265291,0.0,0.0,51.98499329732756
lqr_040,8,8,5,1.0,0.625,3.4750000000000005,0.15960087107218057,0.7020511000131333,0.3479356301414602,0.0,0.0,30.288115814971086
lqr_041,8,8,5,1.0,0.625,2.49,0.1608145209839114,0.6751110422121918,0.34381277796906906,0.0,0.0,31.324587092708274
lqr_042,8,8,4,1.0,0.5,5.5425,0.14437406391585922,0.8285928402923645,0.39654711682156657,0.0,0.0,34.365085376193214
lqr_043,8,8,4,1.0,0.5,5.1850000000000005,0.14453400995299376,0.8068010512049174,0.39387433299076513,0.0,0.0,35.06571183630964
lqr_044,8,8,4,1.0,0.5,6.842499999999999,0.13402561631577614,1.0172952700527058,0.5028967869967436,0.0,0.0,38.975865436910965
lqr_045,8,8,5,1.0,0.625,4.99,0.13374356442881155,0.9997985357652637,0.4989109019507787,0.0,0.0,39.42011111201046
lqr_046,8,8,2,1.0,0.25,8.075000000000001,0.12904744389178846,1.3057499822509528,0.7731024025457675,0.0,0.0,44.001030538335705
lqr_047,8,8,2,1.0,0.25,8.0075,0.128747804995192,1.293416032293781,0.7605312518573801,0.0,0.0,44.27965287314496
lqr_048,8,8,5,1.0,0.625,3.4299999999999997,0.15233661446546132,0.7373193743100988,0.36820774062914075,0.0,0.0,37.8177529541016
lqr_049,8,8,5,1.0,0.625,3.1850000000000005,0.1532087935811412,0.7098898768667963,0.3638236423585205,0.0,0.0,39.01922705921773
lqr_050,8,8,5,1.0,0.625,4.925,0.13854976880919195,0.8874779334022885,0.4343125272996685,0.0,0.0,42.43856529915363
lqr_051,8,8,5,1.0,0.625,3.91,0.1385054666308465,0.8641164209426485,0.42963677996548455,0.0,0.0,43.24250678168307
lqr_052,8,8,2,1.0,0.25,6.48,0.13008246794852735,1.1180703657099236,0.582978244004991,0.0,0.0,47.59284194500389
lqr_053,8,8,4,1.0,0.5,8.190000000000001,0.1296818929876273,1.0993429144856617,0.5774412702948011,0.0,0.0,48.10744063149377
lqr_054,8,8,2,1.0,0.25,9.55,0.1285796745504745,1.4913167466374544,1.0258931348621796,0.0,0.0,53.206672147943884
lqr_055,8,8,2,1.0,0.25,9.5,0.12766539050370934,1.469349583448948,1.0339270141539318,0.0,0.0,53.54564841024323
lqr_056,8,8,5,1.0,0.625,3.4800000000000004,0.1628305413630619,0.6887221768113665,0.3432463179403166,0.0,0.0,30.88570838691905
lqr_057,8,8,5,1.0,0.625,2.495,0.16413419544393681,0.6628874714479277,0.33935376608158335,0.0,0.0,31.920409473559957
lqr_058,8,8,4,1.0,0.5,5.290000000000001,0.14684644318709533,0.8090087984028056,0.386548674566737,0.0,0.0,35.03449064629465
lqr_059,8,8,4,1.0,0.5,5.18,0.14707026416730556,0.7878077781078827,0.3831703739756669,0.0,0.0,35.73717344322688
lqr_060,8,8,4,1.0,0.5,6.8425,0.13552640797436535,0.9803608837497972,0.47313037762205473,0.0,0.0,39.743603146777154
lqr_061,8,8,5,1.0,0.625,4.99,0.13530279981739313,0.9638544424968806,0.469633336331059,0.0,0.0,40.19006495859847
lqr_062,8,8,2,1.0,0.25,6.575,0.12989407690659194,1.2547099105688377,0.6683127666363651,0.0,0.0,44.884042217980635
lqr_063,8,8,2,1.0,0.25,6.545,0.12953655668690334,1.2417270000709317,0.6627380245448516,0.0,0.0,45.162196989323384
