time,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,event,control_tick
0.47000000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.47500000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.47999999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.48499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.48999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.495,0,0,0,0,3.2000000000000002,0,hover,-1
0.5,0,0,0,0,3.2000000000000002,0,hover,100
0.505,0,0,0,0,3.2000000000000002,0,hover,-1
0.51000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.51500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.52000000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.52500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.53000000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.53500000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.54000000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.54500000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.55000000000000004,0,0,0,0,3.2000000000000002,0,hover,110
0.55500000000000005,0,0,0,0,3.2000000000000002,0,hover,-1
0.56000000000000005,0,0,0,0,3.2000000000000002,0,hover,-1
0.56500000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.57000000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.57500000000000007,0,0,0,0,3.2000000000000002,0,hover,-1
0.57999999999999996,0,0,0,0,3.2000000000000002,0,hover,-1
0.58499999999999996,0,0,0,0,3.2000000000000002,0,hover,-1
0.58999999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.59499999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.59999999999999998,0,0,0,0,3.2000000000000002,0,hover,120
0.60499999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.60999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.61499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.62,0,0,0,0,3.2000000000000002,0,hover,-1
0.625,0,0,0,0,3.2000000000000002,0,hover,-1
0.63,0,0,0,0,3.2000000000000002,0,hover,-1
0.63500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.64000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.64500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.65000000000000002,0,0,0,0,3.2000000000000002,0,hover,130
0.65500000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.66000000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.66500000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.67000000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.67500000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.68000000000000005,0,0,0,0,3.2000000000000002,0,hover,-1
0.68500000000000005,0,0,0,0,3.2000000000000002,0,hover,-1
0.69000000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.69500000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.70000000000000007,0,0,0,0,3.2000000000000002,0,hover,140
0.70499999999999996,0,0,0,0,3.2000000000000002,0,hover,-1
0.70999999999999996,0,0,0,0,3.2000000000000002,0,hover,-1
0.71499999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.71999999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.72499999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.72999999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.73499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.73999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.745,0,0,0,0,3.2000000000000002,0,hover,-1
0.75,0,0,0,0,3.2000000000000002,0,hover,150
0.755,0,0,0,0,3.2000000000000002,0,hover,-1
0.76000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.76500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.77000000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.77500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
0.78000000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.78500000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.79000000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.79500000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.80000000000000004,0,0,0,0,3.2000000000000002,0,hover,160
0.80500000000000005,0,0,0,0,3.2000000000000002,0,hover,-1
0.81000000000000005,0,0,0,0,3.2000000000000002,0,hover,-1
0.81500000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.82000000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.82500000000000007,0,0,0,0,3.2000000000000002,0,hover,-1
0.83000000000000007,0,0,0,0,3.2000000000000002,0,hover,-1
0.83499999999999996,0,0,0,0,3.2000000000000002,0,hover,-1
0.83999999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.84499999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.84999999999999998,0,0,0,0,3.2000000000000002,0,hover,170
0.85499999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.85999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.86499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.87,0,0,0,0,3.2000000000000002,0,hover,-1
0.875,0,0,0,0,3.2000000000000002,0,hover,-1
0.88,0,0,0,0,3.2000000000000002,0,hover,-1
0.88500000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.89000000000000001,0,0,0,0,3.2000000000000002,0,hover,-1
0.89500000000000002,0,0,0,0,3.2000000000000002,0,hover,-1
