time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,uav_roll_deg,uav_pitch_deg,uav_yaw_deg,requested_thrust_N,applied_thrust_N,requested_Mx_Nm,requested_My_Nm,requested_Mz_Nm,applied_Mx_Nm,applied_My_Nm,applied_Mz_Nm,thrust_saturated,mx_saturated,my_saturated,mz_saturated,ax_cmd,ay_cmd,az_cmd,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
39.075,0.5088644059509561,254.97407218445,3.210281222815211,0.9911745432448982,255.1635739865629,0.4329484357974528,0.04295474331898986,8.101305581318286,-0.01009995740091208,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.040482889096691,-7.089070054528638,-1.1153153545023824,131.1694251780094,131.1694251780094,1.639479522911994,-0.03324412678593727,-0.07117386078272168,1.639479522911994,-0.03324412678593727,-0.07117386078272168,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011213731078374312,0.009922909031415302,0.012005168000498096,0.013834325298695358,0.016590571389445884,-0.0025189437452964865,0.0002754400562983106,0.00020624154998005273,0.0004973212004061842,0.00046776860663941164
39.08,0.5090313943393121,255.01530938142844,3.2102729570930943,0.9913884822391167,255.2040806263322,0.4328979160615179,0.042620732612593235,8.101352466869221,-0.010107787571924617,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.0256051406888735,-7.089722434609106,-1.1151315436347045,131.16486072879297,131.16486072879297,1.6422198277440054,-0.033520010800555874,-0.07128573445401576,1.6422198277440054,-0.033520010800555874,-0.07128573445401576,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011201127086273613,0.009924277018977834,0.012006183018021923,0.013836795298123391,0.0165929058630902,-0.0025224962837018913,0.00027173862576249086,0.00019972677856813404,0.0004906339664993523,0.00046600428768263624
39.085,0.5091974696233122,255.056546988004,3.2102645890317567,0.9916007497091877,255.24458753711386,0.43284735524350876,0.042286134203513896,8.101413985675237,-0.010116390596875878,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,4.010724408544489,-7.090356329614877,-1.1149468757187302,131.1602864276385,131.1602864276385,1.6449565639086936,-0.033787351319880074,-0.07139525617770781,1.6449565639086936,-0.033787351319880074,-0.07139525617770781,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011188511268529603,0.009925626253514362,0.012007165148013877,0.013839231702892963,0.01659523145726658,-0.002523678848332107,0.00026794344454579837,0.00019308954491055444,0.0004838816104029884,0.0004642155489719813
39.09,0.5093626296422678,255.0977850653039,3.210256114016761,0.9918113427249428,255.28509479206298,0.4327967494621413,0.04195095144374693,8.101490133199507,-0.010125773372289551,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,3.995840949184631,-7.090972283406192,-1.1147614387607039,131.1557023509001,131.1557023509001,1.6476896878347476,-0.03404631028138162,-0.07150253132545001,1.6476896878347476,-0.03404631028138162,-0.07150253132545001,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011175895262925659,0.009926956343632946,0.012008113836263008,0.01384163417108938,0.016597548033133142,-0.002522575356978277,0.0002640839498015784,0.00018635262274565564,0.00047705855604000905,0.0004623961479316431
39.095,0.5095268722448771,255.1390236744235,3.2102475274110858,0.9920202583731862,255.32560246431112,0.43274609480049003,0.04161518777296356,8.101580904616334,-0.010135943236685757,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,3.9809550187641665,-7.091570827170684,-1.114575317255767,131.1511085753523,131.1511085753523,1.650419155934983,-0.03429704960352309,-0.0716076620007254,1.650419155934983,-0.03429704960352309,-0.0716076620007254,False,False,False,False,-1.2783469898753597,-2.0,-0.09996405076838244,True,0.011163290302541594,0.00992826702481174,0.012009028635555252,0.013844002345443931,0.016599855426867947,-0.0025192640748186784,0.0002601819376052299,0.00017953612262198835,0.00047016394738152447,0.0004605422233377014
39.1,0.5096901952865781,255.18026287642533,3.210238824554869,0.9922274937581566,255.36611062696502,0.4326953873041377,0.041278846725125794,8.101686294802642,-0.010146907818850973,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,3.966066873075822,-7.092152479566595,-1.1143885923093149,131.16983157888552,131.16983157888552,1.6527167036072996,-0.030460939477623,-0.07124868946206063,1.6527167036072996,-0.030460939477623,-0.07124868946206063,False,False,False,False,-1.275936763149238,-2.0,-0.09788129960587968,True,0.011150707240013907,0.00992955812760458,0.012009909193592325,0.013846335873036198,0.016602153460022796,-0.002513819118811454,0.00025625396705070244,0.0001726579751302112,0.0004632001751393443,0.00045865169817069755
39.105000000000004,0.5098525939609619,255.22150273105876,3.2102300226730107,0.9924330444801135,255.40661935186273,0.43264464549949677,0.04094132399927713,8.101805802523794,-0.010149671321102394,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,3.951176701162488,-7.092714760478844,-1.1142008832085823,131.16521885812531,131.16521885812531,1.655438977726198,-0.03084161899787598,-0.07137775718543417,1.655438977726198,-0.03084161899787598,-0.07137775718543417,False,False,False,False,-1.275936763149238,-2.0,-0.09788129960587968,True,0.011138092570559066,0.009930834638552159,0.012010759119340228,0.013848633918275063,0.016604441206868246,-0.0025318231024212545,0.00025423504191513614,0.00016725091248521003,0.00045602704760911464,0.0004564524607987256
39.11,0.5100140634991076,255.26274329805085,3.2102211389712862,0.9926369061720088,255.4471287107775,0.4325938878064628,0.04060323523324765,8.101939900677406,-0.010153262008364528,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,3.93628469436394,-7.093255287603262,-1.1140118312947114,131.16059663516654,131.16059663516654,1.658157462406334,-0.031210859412403782,-0.07150350445358385,1.658157462406334,-0.031210859412403782,-0.07150350445358385,False,False,False,False,-1.275936763149238,-2.0,-0.09788129960587968,True,0.011125396505656334,0.009932099311538888,0.0120115811807594,0.013850896590488607,0.016606718199779456,-0.0025464031237892536,0.00025155836644940785,0.00016151821432872963,0.00044903089847075683,0.0004543432539069463
39.115,0.5101746018322253,255.30398463837784,3.210212168727427,0.9928390760116479,255.48763877664732,0.432543110093502,0.04026458361466167,8.102088583664543,-0.010157678624523037,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,3.9213911125031053,-7.093774758623291,-1.113821556539681,131.1559649896421,131.1559649896421,1.6608721149436674,-0.03156888011404941,-0.07162607394004913,1.6608721149436674,-0.03156888011404941,-0.07162607394004913,False,False,False,False,-1.275936763149238,-2.0,-0.09788129960587968,True,0.011112635625724922,0.00993334940181579,0.012012373860775343,0.013853124514645165,0.016608984793265866,-0.0025577672973847608,0.00024842827946179607,0.0001555043477229639,0.00044211430105174155,0.00045228729892833516
39.12,0.510334206914721,255.34522681297796,3.2102031071984114,0.9930395511926462,255.52814962238213,0.4324923082281228,0.03992537229429974,8.102251845742675,-0.010162922710350412,0.225,0.0,0.38999999999999996,8.660254037844386,5.0,0.0,3.9064962149017313,-7.094273854548529,-1.1136301740855616,131.15132400157825,131.15132400157825,1.6635828925981773,-0.03191589686938826,-0.07174560361774668,1.6635828925981773,-0.03191589686938826,-0.07174560361774668,False,False,False,False,-1.275936763149238,-2.0,-0.09788129960587968,True,0.011099825575527867,0.009934583011410978,0.012013135861416897,0.013855317916067004,0.016611241179343834,-0.0025660842639475905,0.0002449836606431453,0.00014925194567389044,0.000435212857827396,0.00045025620445754693
