time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,raw_ax,raw_ay,raw_az,integral_x,integral_y,integral_z,saturated,slew_limited,roll_deg,pitch_deg,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x,qp_status,qp_iterations,limiter_mismatch,steady_state_residual,steady_task_residual,d_raw_norm,d_hat_norm,d_projected_norm,d_rejected_norm
7.43,0.016729620022670467,0.007187844608478499,0.1350681881020309,0.002787095891858934,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.117625065178398e-15,-0.21635971388703706,0.15643386673856033,2.9642065136582334e-16,3.199557853886081,0.3917292691371814,2.4155716666817057e-16,0.3901083523820027,0.375,0.0,0.38999999999999996,0.9773627974679011,129.85943206691837,0.034205336741600326,0.5784,0.31227290166097776,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.4350000000000005,0.016765259201003906,0.0071202871576613565,0.1343084629500788,0.002512438415326639,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.1210459276719607e-15,-0.2185026800189783,0.15646418244124702,2.945749831875564e-16,3.1995579624834156,0.3917649271297938,2.395424693453911e-16,0.39010551971166085,0.375,0.0,0.38999999999999996,1.0091792386491507,129.85943774464874,0.03374918707170749,0.5784,0.3331670517880445,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.44,0.01680059107983873,0.0070567544117852085,0.13362616318052284,0.0022476329716623012,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.1243330077428287e-15,-0.22060323947130314,0.15649424025840028,2.9273261107097083e-16,3.1995580227835383,0.3918002757064381,2.3753764084329117e-16,0.39010294085497144,0.375,0.0,0.38999999999999996,0.9563825623031758,129.85944313372053,0.03329062476898831,0.5784,0.29906546081601626,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.445,0.016835609626925284,0.006986679227192442,0.13302767556815515,0.0019362844104717795,True,False,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,-0.04868607533841961,-1.298312337287459e-15,-0.0019997139257275716,0.0,0.0,0.0,False,False,-1.1274864344767426e-15,-0.22266149543562974,0.1565240155254824,2.9089355053726386e-16,3.1995580347739194,0.39183530881604967,2.355426911935202e-16,0.39010064083892554,0.375,0.0,0.38999999999999996,0.9907969997548783,129.859448244957,0.03281622971014008,0.5784,0.32122041274467883,solved,25,0.0,3.924580362341979e-18,4.152475127242379e-10,0.006436649688462249,0.0032775673044142827,0.0032763036440084685,9.100476483324329e-05
7.45,0.016870305923888093,0.006920663594395418,0.13251001429712067,0.0016819023764213868,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1305063387621579e-15,-0.22467754860857514,0.1565534847505705,2.8905781655598254e-16,3.1995579984347664,0.3918700177369988,2.3355762905182994e-16,0.39009860790495343,0.375,0.0,0.38999999999999996,1.117297867193257,129.84183037284046,0.03486815215012419,0.6886,0.40919390353526797,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.455,0.016904723401597304,0.006871559650624262,0.1320466817017479,0.0015552754858878387,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1333988170723854e-15,-0.22665030503772615,0.1565827359375189,2.8722549012546286e-16,3.1995578969110356,0.3919044466987977,2.315822379330635e-16,0.39009672172464827,0.375,0.0,0.38999999999999996,1.214536373904845,129.8418342256866,0.03431802379437238,0.6886,0.4840356140852234,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.46,0.016938930949096792,0.006836746399495244,0.13160478394146818,0.0015309219891991351,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1361699596835477e-15,-0.22857911733056163,0.1566119059888989,2.853966516277173e-16,3.1995577132715862,0.39193866546220996,2.296163004018842e-16,0.39009483700546027,0.375,0.0,0.38999999999999996,1.2209056816346708,129.84183784388617,0.03378674287858932,0.6886,0.48918604012266764,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.465,0.01697296387083902,0.006803245475474454,0.13116813485306986,0.001518093573449249,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1388198867893622e-15,-0.23046492144033248,0.1566410572845916,2.8357131427442127e-16,3.199557447366363,0.3919727096814665,2.2765982256786513e-16,0.39009289041640094,0.375,0.0,0.38999999999999996,1.2348345847308348,129.8418412391467,0.033258126202935764,0.6886,0.5005041444453223,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.47,0.01700683066811029,0.006772286506045788,0.13073278050851814,0.0015214503004110274,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1413487201178488e-15,-0.23230833499003237,0.1566701948133234,2.8174949077748813e-16,3.1995570991492532,0.39200658791942145,2.2571281088877306e-16,0.3900908664556657,0.375,0.0,0.38999999999999996,1.282732145066874,129.84184442213575,0.032733860122854064,0.6886,0.5403269907810756,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.4750000000000005,0.01704055543624495,0.00674950049683957,0.13028950835884248,0.0015727940660023466,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1437565830933698e-15,-0.23411016376086005,0.1566993553745537,2.799311933488083e-16,3.199556668518479,0.3920403244313493,2.2377527082782716e-16,0.39008872908259357,0.375,0.0,0.38999999999999996,1.2650022555051297,129.84184740342997,0.03222193482933389,0.6886,0.525432803040732,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
