time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,raw_ax,raw_ay,raw_az,integral_x,integral_y,integral_z,saturated,slew_limited,roll_deg,pitch_deg,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x,qp_status,qp_iterations,limiter_mismatch,steady_state_residual,steady_task_residual,d_raw_norm,d_hat_norm,d_projected_norm,d_rejected_norm
0.11,1.581878315991471e-20,2.1466541836401207e-16,0.0,5.873767848618994e-22,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,3.228477500184685e-19,-0.0,2.070307720199422e-23,-1.4881819628074885e-23,3.2,0.225,1.581878315991471e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,6.065942788996266e-18,0.6169,1.7247515947451235e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.115,1.8983477610456207e-20,2.1466540639655195e-16,0.0,8.343839550032979e-22,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,3.874615905727438e-19,-0.0,2.6516992550402296e-23,-1.9092539772965334e-23,3.2,0.225,1.8983477610456207e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.85194437737063e-18,0.6169,2.3481446823570046e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.12,2.2571026209103298e-20,2.1466539843458966e-16,0.0,1.081072554176468e-21,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,4.607149561782291e-19,-0.0,3.354081464723073e-23,-2.416383565778518e-23,3.2,0.225,2.2571026209103298e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.646222692899571e-18,0.6169,3.1039481932250803e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.125,2.6564675703480317e-20,2.1466539511032117e-16,0.0,1.3275381472503462e-21,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,5.422724255965189e-19,-0.0,4.193139526742635e-23,-3.039864363267805e-23,3.2,0.225,2.6564675703480317e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.4485208609025244e-18,0.6169,4.008138015169405e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.13,3.0948152340012086e-20,2.1466539725364654e-16,0.0,1.5745360301034836e-21,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,6.318090526612396e-19,-0.0,5.1858713300712615e-23,-3.8134138082008215e-23,3.2,0.225,3.0948152340012086e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.258586671277093e-18,0.6169,5.076630650855265e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.135,3.570565372346338e-20,2.146654059258948e-16,0.0,1.8234288689128288e-21,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,7.290101713123083e-19,-0.0,6.350449870168465e-23,-4.774031003343946e-23,3.2,0.225,3.570565372346338e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.0761729405870134e-18,0.6169,6.325142494567598e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.14,4.0821839651056234e-20,2.1466542241589397e-16,0.0,2.0764537276592256e-21,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,8.335711823642232e-19,-0.0,7.706102493502147e-23,-5.961867535753487e-23,3.2,0.225,4.0821839651056234e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.9010378378247104e-18,0.6169,7.768961368472184e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.145,4.6281822324523966e-20,2.146654481968016e-16,0.0,2.337107199715503e-21,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,9.451973284311026e-19,-0.0,9.273003184192269e-23,-7.420102419326195e-23,3.2,0.225,4.6281822324523966e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.732945143756603e-18,0.6169,9.422791585766037e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.15,5.207115602897457e-20,2.146654848465107e-16,0.0,2.610518333134491e-21,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,1.063603458803618e-18,-0.0,1.1072177365627595e-22,-9.194821076707112e-23,3.2,0.225,5.207115602897457e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.179431455126943e-18,0.6365,1.130070686927036e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.155,5.818201801097835e-20,2.1466552740732722e-16,0.0,2.8956353888790605e-21,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,1.1886384221566843e-18,-0.0,1.3121883323566838e-22,-1.1326996040957957e-22,3.2,0.225,5.818201801097835e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.0185487847686365e-18,0.6365,1.3403943115494701e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
