method_id,family,case_count,all_safety_rate,all_catastrophic_count,all_deadline_miss_rate,overall_success_rate,nominal_case_count,nominal_success_rate,nominal_setpoint_success_rate,nominal_trajectory_success_rate,nominal_setpoint_rmse_m,nominal_trajectory_rmse_m,nominal_endpoint_position_error_m,nominal_endpoint_velocity_error_m_s,challenge_case_count,challenge_success_rate,challenge_setpoint_rmse_m,challenge_trajectory_rmse_m,challenge_rmse_m,challenge_endpoint_position_error_m,challenge_endpoint_velocity_error_m_s,strong_mean_m,strong_p90_m,orientation_rmse_rad,acquisition_time_s,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,nominal_calm_success_rate,nominal_moderate_success_rate,nominal_stochastic_success_rate
r1r3_lqi_local_010,native_full_lqr,42,1.0,0,8.597883597883597e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.7872127810463868,0.32406031905538857,0.7419554391226476,0.6502546026533342,6,0.16666666666666666,1.185038240924518,0.7404892485789226,0.9627637447517201,1.560208015891523,0.8429791077375733,0.8586849417999834,1.2122132162333543,0.027170122657279368,3.79,16882.6985677908,0.0,0.0,2.09227784083202,0.09163217857142857,0.14086525,0.19296292000000012,18.1175,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_002,native_full_lqr,42,1.0,0,8.597883597883597e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.787790987354922,0.35509737041614337,0.747367280477998,0.6691570176610144,6,0.16666666666666666,1.1836648551357227,0.84734371143789,1.0155042832868066,1.7243641427017353,0.7517008753038289,0.9179439877631518,1.284035218411799,0.026385401422496853,3.79,16882.338829428863,0.0,0.0,2.1277111151292183,0.09525040343915345,0.14499525,0.1939677400000001,20.2702,0.5,0.08333333333333333,0.3333333333333333
r1r3_lqi_local_021,native_full_lqr,42,1.0,0,8.597883597883597e-05,0.2619047619047619,36,0.2777777777777778,0.16666666666666666,0.3888888888888889,0.9558059331332487,0.3235545184911076,0.5984247528193739,0.9169276361309593,6,0.16666666666666666,1.4784105237018101,0.6543779626614116,1.066394243181611,1.2695626776048254,1.252830832208286,0.9319533119280913,1.3770014067301009,0.041040275073418,2.74,16877.244266849168,0.0,0.0,3.3791498676180547,0.09294757308201058,0.13884524999999998,0.20041067000000012,18.157899999999998,0.3333333333333333,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_008,native_full_lqr,42,1.0,0,8.597883597883597e-05,0.2619047619047619,36,0.2777777777777778,0.16666666666666666,0.3888888888888889,0.7942825883525545,0.3523359744148973,0.8031099397202739,0.6955605226887376,6,0.16666666666666666,1.1780139642388316,0.8356634967002255,1.0068387304695285,1.715684311306708,0.7811823225333314,0.9113006723426604,1.2627949312698796,0.0274234887123707,3.74,16883.940157076562,0.0,0.0,2.2098457939452514,0.09184576884920634,0.14010474999999992,0.19522951000000016,17.4922,0.5,0.08333333333333333,0.25
r1r3_lqi_local_016,native_full_lqr,42,0.9761904761904762,1,0.00012566137566137565,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.83496085065478,0.3187735865366473,1.0219107366825582,0.7800869408603921,6,0.16666666666666666,1.1829384800566405,0.6901670412040715,0.936552760630356,1.562240520153015,1.0373074816694616,0.8453539325851138,1.141415633656751,0.03572168796192494,3.4950000000000006,16874.222055743638,0.0,0.0,3.756964051049669,0.09385214947089947,0.14248999999999998,0.20140254000000005,47.0267,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_013,native_full_lqr,42,0.9285714285714286,3,8.597883597883597e-05,0.2619047619047619,36,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.8977226759170941,0.32811115892384696,0.7858275104489739,1.1204220522841069,6,0.16666666666666666,1.3134853377791902,0.7200578684561609,1.0167716031176754,1.490405749937464,1.3114431971114118,0.9049377493184755,1.2219430155811646,0.046585203968522455,2.87,16848.45573460854,0.0,0.0,5.022264113902709,0.09065529232804234,0.1351047499999999,0.18899400000000002,20.1684,0.4166666666666667,0.16666666666666666,0.25
r1r3_lqi_local_014,native_full_lqr,42,0.9285714285714286,3,8.928571428571429e-05,0.2619047619047619,36,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.8874902760969149,0.3352672515231671,1.2122513935864856,0.9334900229026952,6,0.16666666666666666,1.1932813021081325,0.7538266416683667,0.9735539718882497,1.7667104655494732,0.9675132961648201,0.9025336764937504,1.160318516380437,0.04741641885681262,3.37,16833.774800962678,0.00028174603174603173,0.0,5.80722413804627,0.09318673148148149,0.1417047499999999,0.18658677000000004,20.354499999999998,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_lqi_local_005,native_full_lqr,42,0.9047619047619048,4,8.928571428571429e-05,0.2619047619047619,36,0.2777777777777778,0.05555555555555555,0.5,1.1348362604591449,0.3162506660951251,1.7920615216482219,0.4217622646582195,6,0.16666666666666666,1.3273392838721474,0.6348619971434847,0.9811006405078161,2.0975895146906676,0.5940444592038118,0.9828021928443647,1.4585706576768411,0.12070040961166531,2.9699999999999998,16706.8792550422,0.007623015873015873,0.000507936507936508,8.324441246416482,0.09623785383597883,0.1476747499999999,0.19796100000000014,20.8357,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_lqi_local_011,native_full_lqr,42,0.9047619047619048,4,8.597883597883597e-05,0.2619047619047619,36,0.2777777777777778,0.05555555555555555,0.5,1.1506890049994303,0.31622053122059274,1.8162410560989513,0.5163994206997492,6,0.16666666666666666,1.3426505763892287,0.6316073828290197,0.9871289796091243,2.126124902490837,0.5853414083622933,0.9918871811945683,1.48472108566265,0.13732336388747965,2.93,16702.731389002718,0.007988095238095239,0.0009126984126984126,8.303830171309059,0.09159236276455025,0.1389949999999999,0.18666741000000003,21.633599999999998,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_lqi_local_022,native_full_lqr,42,0.9047619047619048,4,8.597883597883597e-05,0.19047619047619047,36,0.2222222222222222,0.0,0.4444444444444444,1.0095946607814776,0.3183341871448874,1.6019944125101877,1.0203692178878985,6,0.0,1.2826236531765451,0.6243407927002668,0.953482222938406,1.8153108743682214,1.2575701557640129,0.8939752990938514,1.251394131601758,0.09103343887633497,2.93,16762.857751849682,0.003999999999999999,0.00024603174603174605,7.55577588100597,0.09319898809523809,0.13879974999999994,0.2184611800000002,19.4045,0.3333333333333333,0.08333333333333333,0.25
r1r3_lqi_local_019,native_full_lqr,42,0.8571428571428571,6,8.597883597883597e-05,0.19047619047619047,36,0.19444444444444445,0.0,0.3888888888888889,1.0836126064647496,0.3243859957081199,1.316156680784576,1.2947149979039627,6,0.16666666666666666,1.3720881160288316,0.6474565858655347,1.0097723509471832,1.501632760641094,1.466697597801792,0.9122613439824174,1.2726847007031576,0.09857914668913786,2.5700000000000003,16740.38945369299,0.003837301587301587,0.0003412698412698413,9.61179753145216,0.09415041865079365,0.14038024999999998,0.22269546000000004,18.1263,0.3333333333333333,0.08333333333333333,0.16666666666666666
r1r3_lqi_local_020,native_full_lqr,42,0.8571428571428571,6,8.928571428571429e-05,0.19047619047619047,36,0.19444444444444445,0.0,0.3888888888888889,1.172803251555605,0.3238599447405841,1.8555177617946228,0.7794293792534758,6,0.16666666666666666,1.3325130601367616,0.6592339639158449,0.9958735120263031,2.121109673200987,1.2636859736198314,0.9594887326527939,1.3435766769129573,0.14486431051589865,2.83,16657.62871524801,0.008507936507936508,0.00022222222222222223,10.826833891681476,0.09263312566137565,0.13929474999999994,0.20565197000000018,19.6372,0.3333333333333333,0.08333333333333333,0.16666666666666666
r1r3_lqi_local_017,native_full_lqr,42,0.8095238095238095,8,8.597883597883597e-05,0.19047619047619047,36,0.2222222222222222,0.05555555555555555,0.3888888888888889,1.2718835925588918,0.3170382920668308,1.94984533407026,0.528833334355008,6,0.0,1.3910046792455473,0.6041695265715982,0.9975871029085727,2.271943585922102,0.9825320927190938,1.0025621059048648,1.509638366188224,0.1793775143096608,2.84,16607.273826443976,0.011341269841269841,0.0007777777777777777,11.357663798781804,0.09543610515873015,0.14575999999999997,0.2149956700000001,21.0402,0.3333333333333333,0.08333333333333333,0.25
r1r3_lqi_local_023,native_full_lqr,42,0.6904761904761905,13,9.259259259259259e-05,0.16666666666666666,36,0.19444444444444445,0.05555555555555555,0.3333333333333333,1.4445118518374513,0.32293368677991996,2.229202925210227,0.6730140747966901,6,0.0,1.6297509521929232,0.5641157371300011,1.0969333446614622,2.427315384126262,1.048798473523112,1.1195991746829217,1.7809264696984248,0.35879355971458415,2.6,16201.253019932034,0.02800793650793651,0.0043134920634920635,18.952434660616955,0.09670236739417988,0.14620499999999992,0.20971510000000027,23.2924,0.25,0.08333333333333333,0.25
