time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5,ax_cmd,ay_cmd,az_cmd,controller_runtime_ms,wind_x,safe
0.115,5.351154588342749e-23,-4.3322107776964536e-23,3.2,2.3351197645241747e-21,-2.2928916556319433e-21,-2.14665479081601e-16,0.225,3.60323100312592e-20,0.38999999999999996,-2.9104971913771953e-21,-4.914566340252788e-21,-2.146653139017304e-16,0.225,0.0,0.38999999999999996,-1.794082581145623e-20,3.904468363103247e-21,1.5442262461418344e-21,-3.4136357691775603e-22,-1.1882047989130691e-23,-3.971943842592132e-19,-4.937010407777337e-22,8.271613881763262e-20,-7.912304667957342e-22,-5.7177723820050094e-21,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.3762,0.0,True
0.12,6.607334842237526e-23,-5.588516719539098e-23,3.2,2.6896012510549293e-21,-2.7323321117386334e-21,-2.14665479081601e-16,0.225,4.055788298150253e-20,0.38999999999999996,-3.545222388707083e-21,-6.1853856184171886e-21,-2.146652783699834e-16,0.225,0.0,0.38999999999999996,-1.990948171359253e-20,3.850467085504808e-21,1.96970616195425e-21,-3.287961016502028e-22,-4.632364954301259e-23,-3.9026797659530807e-19,-2.1106809998597866e-20,8.747582750733372e-20,5.8182205738170195e-21,-8.05886823954775e-21,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.359,0.0,True
0.125,8.048432119058754e-23,-7.083639347370038e-23,3.2,3.074787856229987e-21,-3.248158399585125e-21,-2.14665479081601e-16,0.225,4.51426711949855e-20,0.38999999999999996,-4.258867384636613e-21,-7.544954360181205e-21,-2.1466525142154566e-16,0.225,0.0,0.38999999999999996,-2.184393966693536e-20,3.699812874283156e-21,2.4094586084587153e-21,-2.7856525590225364e-22,-9.285784281508922e-23,-3.83515204741825e-19,-3.9154874490062955e-20,8.842515109445246e-20,1.4274117725362652e-20,-1.0554809069282898e-20,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.3604,0.0,True
0.13,9.682122698467512e-23,-8.836675119124224e-23,3.2,3.4599744614050445e-21,-3.763984687431616e-21,-2.14665479081601e-16,0.225,4.978483989635265e-20,0.38999999999999996,-4.972512380566168e-21,-8.904523101945221e-21,-2.1466522447310794e-16,0.225,0.0,0.38999999999999996,-2.374463376101078e-20,3.458918340604178e-21,2.8539576728987745e-21,-1.860549243965763e-22,-1.5187174023584157e-22,-3.7676243288834195e-19,-5.720293898152804e-20,8.937447468157121e-20,2.2730014876908284e-20,-1.3050749899018046e-20,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.3556,0.0,True
0.135,1.1508406580463798e-22,-1.0847624034801653e-22,3.2,3.8451610665801e-21,-4.2798109752781075e-21,-2.14665479081601e-16,0.225,5.448439237599829e-20,0.38999999999999996,-5.6861573764955536e-21,-1.0264091843709235e-20,-2.146651975246702e-16,0.225,0.0,0.38999999999999996,-2.561156399581878e-20,3.1277834844678754e-21,3.3032033552744274e-21,-5.126510713317079e-23,-2.233653418052697e-22,-3.700096610348589e-19,-7.525100347299313e-20,9.032379826868996e-20,3.1185912028453926e-20,-1.5546690728753187e-20,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.3541999999999996,0.0,True
0.14,1.3527283765047612e-22,-1.311648609440233e-22,3.2,4.230347671755156e-21,-4.795637263124599e-21,-2.14665479081601e-16,0.225,5.924133180047126e-20,0.38999999999999996,-6.3998023724253246e-21,-1.162366058547325e-20,-2.1466517057623245e-16,0.225,0.0,0.38999999999999996,-2.744473037135937e-20,2.706408305874247e-21,3.7571956555856736e-21,1.2580419588796294e-22,-3.0733864752337344e-22,-3.6325688918137583e-19,-9.329906796445821e-20,9.127312185580871e-20,3.9641809179999573e-20,-1.8042631558488327e-20,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.3529,0.0,True
0.145,1.5738754252218953e-22,-1.5643261297926252e-22,3.2,4.6155342769302116e-21,-5.3114635509710905e-21,-2.14665479081601e-16,0.225,6.405566121860712e-20,0.38999999999999996,-7.113447368354518e-21,-1.2983229327237262e-20,-2.146651436277947e-16,0.225,0.0,0.38999999999999996,-2.924413288763254e-20,2.194792804823293e-21,4.215934573832514e-21,3.451529846668249e-22,-4.037916573901529e-22,-3.5650411732789277e-19,-1.113471324559233e-19,9.222244544292745e-20,4.809770633154522e-20,-2.0538572388223467e-20,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.3564,0.0,True
0.15,1.8142818041977823e-22,-1.842794964537342e-22,3.2,5.000720882105267e-21,-5.827289838817582e-21,-2.14665479081601e-16,0.225,6.892738356728575e-20,0.38999999999999996,-7.82709236428412e-21,-1.4342798069001276e-20,-2.1466511667935699e-16,0.225,0.0,0.38999999999999996,-3.1009771544638286e-20,1.5929369813150142e-21,4.679420110014948e-21,6.067812592034151e-22,-5.127243714056081e-22,-3.497513454744097e-19,-1.2939519694738838e-19,9.31717690300462e-20,5.655360348309087e-20,-2.3034513217958607e-20,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8773999999999997,0.0,True
0.155,2.0732256474911534e-22,-2.1497159877942944e-22,3.2,5.356235060708218e-21,-6.4610689701605415e-21,-2.14665479081601e-16,0.225,7.288465501870981e-20,0.38999999999999996,-9.059632627199627e-21,-1.764247290597121e-20,-2.1466528725322075e-16,0.225,0.0,0.38999999999999996,-3.2210758432255656e-20,7.126175244548039e-22,5.142258059526926e-21,9.11728271189056e-22,-6.2450141161439045e-22,-1.31609237771658e-19,-2.202888695831761e-19,8.996730970508583e-20,6.589674006581313e-20,-2.1621161699457062e-20,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,4.2261,0.0,True
0.16,2.3498482399994446e-22,-2.4897443413934155e-22,3.2,5.705026073917727e-21,-7.146332641369515e-21,-2.14665479081601e-16,0.225,7.499036280499823e-20,0.38999999999999996,-1.0342384915835855e-20,-2.10019112251006e-20,-2.1466548756135158e-16,0.225,0.0,0.38999999999999996,-3.235537449274556e-20,-5.756700996692922e-22,5.557190071968586e-21,1.2701462807434275e-21,-7.28153045654864e-22,7.269424972306551e-20,-2.924804551745479e-19,7.413577733789111e-20,7.77425485531487e-20,-1.9711156166324617e-20,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8695999999999997,0.0,True
