sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id,d_raw_norm_max,d_hat_norm_max,d_projected_norm_max,d_rejected_norm_max,steady_state_residual_max,steady_task_residual_max,limiter_mismatch_max,qp_iterations_max,qp_statuses,solver_valid,limiter_parity_valid
constant_3_face_diagonal_08,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,True,2.6000000000000005,0.07832266549926191,0.9120622741393518,0.21158368394790544,0.012318498456325504,1.173845324616724,0.8818873660411116,0.7379780126412357,0.861452369311454,0.25,0.25,0.25,141.30663805458218,0.7346958399223262,0.09823513628402045,0.981276218242399,1.2763,[],self_dr_tsrmpc,self_a_022,0.13802448386323565,0.09516997847881825,0.09508121714108797,0.004507130587402217,1.3457130472595453e-16,6.117574398601309e-09,7.501827123140847e-06,150,['solved'],True,True
constant_3_face_diagonal_09,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,True,2.55,0.07699339684172127,0.9040660439953886,0.2063341545030235,0.011294011394250483,1.1566194307406643,0.8818873660411116,0.7004709017963494,0.87371809475033,0.25,0.25,0.25,134.5825905474956,0.7959345677635895,0.09823513628402045,0.960579341940858,1.2911,[],self_dr_tsrmpc,self_a_022,0.13802448386323565,0.09516997847881825,0.09508121714108797,0.004507130587402217,1.3457130472595453e-16,6.117574398601309e-09,7.806079630579e-06,150,['solved'],True,True
ramp_wind_equilibrium_hold,RAMP_WIND_EQUILIBRIUM_HOLD,ramp,3.0,-1,2401,True,2401,True,0.0,0.017983174015171514,0.32750135182391904,0.03451336030398233,0.018289668441466768,0.24549071276993706,0.25209214801951363,6.720687783903398e-16,0.005495555260980407,0.010926934676934286,1.2823566054308186e-16,0.0012243534225654983,129.98164160005481,0.08935321759082199,0.010751342487099186,0.9272994585589337,1.2681,[],self_dr_tsrmpc,self_a_022,0.03186066435643967,0.03084194472306922,0.03083756310031039,0.0005215972941072494,2.90135856368323e-17,5.187749752167438e-09,7.703719777548943e-34,25,['solved'],True,True
calm_face_diagonal_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,4.9,0.07908122069388038,0.6771537902403777,0.19877623581733553,0.018430402608872087,0.38833416298511036,0.6479476633248027,0.7206974335365385,0.024995605733210982,0.25,0.25,0.010120484737466247,130.2781466659057,0.7446098542581258,0.09310263007930963,0.9238489795918368,1.2397,[],self_dr_tsrmpc,self_a_022,0.08943195323516288,0.06359123798602419,0.063520710680646,0.002994138143244144,8.188450700896199e-17,9.909603699674284e-10,1.3440335467074238e-06,75,['solved'],True,True
calm_axis_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,6.605,0.06293843365902839,0.7925416363686342,0.14073706617068146,0.0246768027581346,0.12337008135648576,0.7023260788809063,3.213601959407172e-15,0.018494757458057644,0.25,1.3618520376061675e-15,0.0068505639072539756,130.17767069226812,0.7496968441214886,0.10326301090902434,0.7131733860891295,0.956,[],self_dr_tsrmpc,self_a_010,0.09952467387359108,0.07176696582777373,0.07168638230542222,0.003399996483187561,8.763871214518494e-17,1.1209115112745397e-09,1.4659058607258135e-06,75,['solved'],True,True
calm_axis_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,6.605,0.06292314713482165,0.7921846058647243,0.1406246282658267,0.02466580489740255,0.12358216181200093,0.7025599666322595,3.350783279199361e-15,0.029657098033063784,0.24999999999999997,1.3694344904929357e-15,0.013634453040009528,130.26396008545308,0.7499659581101579,0.10349330887687427,0.6543381507705123,0.9428,[],self_dr_tsrmpc,self_a_010,0.09933414790566053,0.07179632510870541,0.07171577295840649,0.00340003060180601,9.103387209856991e-17,1.1251865291165628e-09,1.4659058602539687e-06,75,['solved'],True,True
calm_axis_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.33,0.057910230479658084,2.7982975347338143e-05,0.1575360089080675,0.0005913913706683642,0.3681230942334062,3.454299456359603e-05,0.7970832526683055,0.006605094018291932,6.523400313244723e-06,0.25,0.0009449183822891798,129.91394713417543,0.8263390190795389,0.01480007564031109,0.7161880049979176,0.9768,[],self_dr_tsrmpc,self_a_010,0.0002480282115451699,0.00022881705023871513,0.00022881705023871513,6.399835929514013e-12,2.8758874547076495e-19,4.2256817758236775e-13,1.670699063544001e-05,75,['solved'],True,False
calm_axis_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.33,0.057910230479658084,2.7982975347338143e-05,0.15753600890806752,0.0005913913706684018,0.3681230942334068,3.454299456309085e-05,0.7970832526683053,0.006605094018298932,6.523400313305838e-06,0.25,0.0009449183822898082,129.91394713417546,0.8263390190795381,0.014800075640311116,0.6679838817159517,0.9421,[],self_dr_tsrmpc,self_a_010,0.0002480282115451413,0.00022881705023873724,0.00022881705023873727,6.399835926813765e-12,3.00514220103281e-19,4.225681072454054e-13,1.6706990635106944e-05,75,['solved'],True,False
calm_axis_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.855,0.028314156128355444,0.012279989293265205,0.01671499749912351,0.00019620252519714947,0.1876622983964416,0.020184080086128806,5.922152766402682e-15,0.8503068670396051,0.013228828337953899,3.5254742097170436e-15,0.25,141.14251537905122,0.023949664631566815,0.001793042428684295,0.7357387755102041,0.9693,[],self_dr_tsrmpc,self_a_010,0.00252468200382811,0.0018255979706686448,0.0018235760198640827,8.589790618022008e-05,2.339651848979043e-18,3.113223756199162e-11,4.554455606209373e-06,75,['solved'],True,True
calm_axis_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.855,0.028313910483463225,0.012280239263126474,0.016714453178124887,0.0001950496645281465,0.1876793201457092,0.0195806333963484,5.472010366102723e-15,0.8503292615694714,0.013228828337953913,3.4746827669186164e-15,0.25000000000000006,134.4469674324278,0.02654752735851926,0.0018505162897052355,0.7199542690545606,0.9782,[],self_dr_tsrmpc,self_a_010,0.0025989641501532046,0.0019089278421254377,0.0019068234676586984,8.960898184745338e-05,2.3695915277285883e-18,3.538745284593281e-11,4.554421904334749e-06,75,['solved'],True,True
