time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,uav_roll_deg,uav_pitch_deg,uav_yaw_deg,raw_ax,raw_ay,raw_az,ax_cmd,ay_cmd,az_cmd,ax_limit,ay_limit,az_limit,ax_at_limit,ay_at_limit,az_at_limit,any_accel_at_limit,slew_ax_hit,slew_ay_hit,slew_az_hit,any_slew_at_limit,requested_thrust_N,applied_thrust_N,requested_Mx_Nm,requested_My_Nm,requested_Mz_Nm,applied_Mx_Nm,applied_My_Nm,applied_Mz_Nm,thrust_saturated,mx_saturated,my_saturated,mz_saturated,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
0.1,2.5640960690273327e-23,-1.6899790854964546e-23,3.2,0.225,2.2846334489542906e-20,0.38999999999999996,-1.3760412912492257e-21,-1.525624673866484e-21,-2.1466542267531677e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,4.661803666496874e-19,-0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.0,2.0,2.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.0003370005276756e-18,1.1594138675930542e-18,-2.1974306289922598e-37,-1.0003370005276756e-18,1.1594138675930542e-18,-2.1974306289922598e-37,False,False,False,False,True,-1.1832960281279137e-20,3.39923638811111e-21,5.016441266500277e-22,-2.3420568571154684e-22,3.008011571207279e-23,-4.166510630916546e-19,6.955574312911979e-20,5.221888855092837e-20,-1.0735946440856203e-20,-4.685830849252509e-22
0.105,3.3427813146509964e-23,-2.413376265464484e-23,3.2,0.225,2.717284105311287e-20,0.38999999999999996,-1.8164816033907552e-21,-2.5757714478985707e-21,-2.1466538967388385e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,5.545451503441524e-19,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.015183674052819e-18,1.1230285736015903e-18,-2.204170301353889e-37,-1.015183674052819e-18,1.1230285736015903e-18,-2.204170301353889e-37,False,False,False,False,True,-1.3901211016711964e-20,3.685430421965187e-21,7.964634212295556e-22,-2.8542580219064145e-22,2.467483783528369e-23,-4.1059087795123995e-19,4.5069815259709653e-20,6.524046989868043e-20,-9.389951459247339e-21,-1.7855866235262512e-21
0.11,4.26668108932868e-23,-3.282496077420383e-23,3.2,0.225,3.156948080306376e-20,0.38999999999999996,-2.334060003732587e-21,-3.7112994345009835e-21,-2.1466535190719336e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,6.443696594839398e-19,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.0302778467004971e-18,1.0884971138807071e-18,-2.2137102800143183e-37,-1.0302778467004971e-18,1.0884971138807071e-18,-2.2137102800143183e-37,False,False,False,False,True,-1.5937781683426373e-20,3.85166111160989e-21,1.149030034963469e-21,-3.2450039484216748e-22,1.1389088793454675e-23,-4.040271830572758e-19,2.1686208848509287e-20,7.52393597332534e-20,-5.881723785454333e-21,-3.602749049235777e-21
0.115,5.351154588342749e-23,-4.3322107776964536e-23,3.2,0.225,3.60323100312592e-20,0.38999999999999996,-2.9104971913771953e-21,-4.914566340252788e-21,-2.146653139017304e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,7.355805924673603e-19,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.0456057632269752e-18,1.055609069464398e-18,-2.225735712250476e-37,-1.0456057632269752e-18,1.055609069464398e-18,-2.225735712250476e-37,False,False,False,False,True,-1.794082581145623e-20,3.904468363103247e-21,1.5442262461418344e-21,-3.4136357691775603e-22,-1.1882047989130691e-23,-3.971943842592132e-19,-4.937010407777337e-22,8.271613881763262e-20,-7.912304667957342e-22,-5.7177723820050094e-21
0.12,6.607334842237526e-23,-5.588516719539098e-23,3.2,0.225,4.055788298150253e-20,0.38999999999999996,-3.545222388707083e-21,-6.1853856184171886e-21,-2.146652783699834e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,8.2811299111859145e-19,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.0611552147935204e-18,1.0242882715003296e-18,-2.2400569108434185e-37,-1.0611552147935204e-18,1.0242882715003296e-18,-2.2400569108434185e-37,False,False,False,False,True,-1.990948171359253e-20,3.850467085504808e-21,1.96970616195425e-21,-3.287961016502028e-22,-4.632364954301259e-23,-3.9026797659530807e-19,-2.1106809998597866e-20,8.747582750733372e-20,5.8182205738170195e-21,-8.05886823954775e-21
0.125,8.048432119058754e-23,-7.083639347370038e-23,3.2,0.225,4.51426711949855e-20,0.38999999999999996,-4.258867384636613e-21,-7.544954360181205e-21,-2.1466525142154566e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,9.219014810681257e-19,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.0769139326516282e-18,9.945993439836407e-19,-2.256618346898288e-37,-1.0769139326516282e-18,9.945993439836407e-19,-2.256618346898288e-37,False,False,False,False,True,-2.184393966693536e-20,3.699812874283156e-21,2.4094586084587153e-21,-2.7856525590225364e-22,-9.285784281508922e-23,-3.83515204741825e-19,-3.9154874490062955e-20,8.842515109445246e-20,1.4274117725362652e-20,-1.0554809069282898e-20
0.13,9.682122698467512e-23,-8.836675119124224e-23,3.2,0.225,4.978483989635265e-20,0.38999999999999996,-4.972512380566168e-21,-8.904523101945221e-21,-2.1466522447310794e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,1.0169125450847214e-18,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.0928965543803439e-18,9.649104164669522e-19,-2.275536286855848e-37,-1.0928965543803439e-18,9.649104164669522e-19,-2.275536286855848e-37,False,False,False,False,True,-2.374463376101078e-20,3.458918340604178e-21,2.8539576728987745e-21,-1.860549243965763e-22,-1.5187174023584157e-22,-3.7676243288834195e-19,-5.720293898152804e-20,8.937447468157121e-20,2.2730014876908284e-20,-1.3050749899018046e-20
0.135,1.1508406580463798e-22,-1.0847624034801653e-22,3.2,0.225,5.448439237599829e-20,0.38999999999999996,-5.6861573764955536e-21,-1.0264091843709235e-20,-2.146651975246702e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,1.1131462502593771e-18,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.109103092266804e-18,9.352214889502637e-19,-2.296835337443192e-37,-1.109103092266804e-18,9.352214889502637e-19,-2.296835337443192e-37,False,False,False,False,True,-2.561156399581878e-20,3.1277834844678754e-21,3.3032033552744274e-21,-5.126510713317079e-23,-2.233653418052697e-22,-3.700096610348589e-19,-7.525100347299313e-20,9.032379826868996e-20,3.1185912028453926e-20,-1.5546690728753187e-20
0.14,1.3527283765047612e-22,-1.311648609440233e-22,3.2,0.225,5.924133180047126e-20,0.38999999999999996,-6.3998023724253246e-21,-1.162366058547325e-20,-2.1466517057623245e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,1.2106026611578885e-18,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.1255335581356752e-18,9.055325614335751e-19,-2.320540104891697e-37,-1.1255335581356752e-18,9.055325614335751e-19,-2.320540104891697e-37,False,False,False,False,True,-2.744473037135937e-20,2.706408305874247e-21,3.7571956555856736e-21,1.2580419588796294e-22,-3.0733864752337344e-22,-3.6325688918137583e-19,-9.329906796445821e-20,9.127312185580871e-20,3.9641809179999573e-20,-1.8042631558488327e-20
0.145,1.5738754252218953e-22,-1.5643261297926252e-22,3.2,0.225,6.405566121860712e-20,0.38999999999999996,-7.113447368354518e-21,-1.2983229327237262e-20,-2.146651436277947e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,1.3092818399458816e-18,-0.0,0.0,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.88440000000003,129.88440000000003,-1.1421879633720548e-18,8.758436339168862e-19,-2.3466751949668348e-37,-1.1421879633720548e-18,8.758436339168862e-19,-2.3466751949668348e-37,False,False,False,False,True,-2.924413288763254e-20,2.194792804823293e-21,4.215934573832514e-21,3.451529846668249e-22,-4.037916573901529e-22,-3.5650411732789277e-19,-1.113471324559233e-19,9.222244544292745e-20,4.809770633154522e-20,-2.0538572388223467e-20
