candidate_id,beta,w_p,w_theta,R,H,safe_sample_count,solver_valid_sample_count,solver_success_rate,steady_feasibility_rate,limiter_parity_rate,task_success_count,task_success_rate,position_rmse_3d_m,acquisition_median_s,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms
dr_tsrmpc_018,0.15,80.0,20.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07354878065258251,2.3150000000000004,0.05357583691556129,0.03683064877026368,0.4054057928514158,1.7387
dr_tsrmpc_019,0.15,80.0,20.0,2.0,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07571050508435251,2.45,0.05812829123841405,0.04040173821412834,0.36170241254113444,1.79
dr_tsrmpc_020,0.15,160.0,5.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.0736300947287109,2.3899999999999997,0.05335566387515523,0.03739046700661621,0.4241842369850832,1.7029
dr_tsrmpc_021,0.15,160.0,5.0,2.0,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07564242945886275,2.375,0.05829357434786091,0.040876472077643215,0.36444954025415566,2.015
dr_tsrmpc_022,0.15,160.0,20.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07400146247796774,2.41,0.05442494855479442,0.03838211940887404,0.4156728380614034,1.6876
dr_tsrmpc_023,0.15,160.0,20.0,2.0,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07578879178479574,2.385,0.05875165746680469,0.04131771583415796,0.3630986066920614,1.6428
dr_tsrmpc_024,0.3,40.0,5.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07161838564645776,2.4050000000000002,0.041966097396723454,0.026581408509446146,0.4358511447254517,1.858
dr_tsrmpc_025,0.3,40.0,5.0,2.0,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07368313013973764,2.41,0.04706650566284807,0.030606605805264413,0.3771805985028761,1.8073
dr_tsrmpc_026,0.3,40.0,20.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07183605899982498,2.415,0.04315830312539713,0.027592322884431322,0.4244766087581841,2.0791
dr_tsrmpc_027,0.3,40.0,20.0,2.0,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07378811636608072,2.42,0.04751971091078675,0.031007050997504657,0.3749326685980361,1.8091
dr_tsrmpc_028,0.3,80.0,5.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07161744037854759,2.4050000000000002,0.04252076164496974,0.027293024158818457,0.4445294676427558,1.8434
dr_tsrmpc_029,0.3,80.0,5.0,2.0,20,9,9,1.0,1.0,0.7777777777777778,9,1.0,0.07362385414612188,2.38,0.04734246102667764,0.030932035833815357,0.3793624187456258,2.0232
dr_tsrmpc_030,0.3,80.0,20.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07186847267404003,2.425,0.04361907509615865,0.028238919376795204,0.43394509464210596,1.6405
dr_tsrmpc_031,0.3,80.0,20.0,2.0,20,9,9,1.0,1.0,0.7777777777777778,9,1.0,0.07373337616297511,2.3950000000000005,0.04778223158072564,0.03132453558455798,0.3771119836447844,1.6338
dr_tsrmpc_032,0.3,160.0,5.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07207115703431445,2.41,0.04323103256311474,0.028456824940901158,0.4612933529492503,1.6285
dr_tsrmpc_033,0.3,160.0,5.0,2.0,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07363792722790972,2.46,0.04780605997504822,0.031564818963443125,0.38399267122690084,1.6491
dr_tsrmpc_034,0.3,160.0,20.0,0.5,20,9,9,1.0,1.0,0.3333333333333333,9,1.0,0.07229557428528066,2.4050000000000002,0.04418565528827082,0.029295209688440366,0.4493931595650905,1.7073
dr_tsrmpc_035,0.3,160.0,20.0,2.0,20,9,9,1.0,1.0,0.5555555555555556,9,1.0,0.07374543850923186,2.455,0.048221206538504514,0.031941291104955874,0.38175643433887235,1.7485
