candidate_id,stage1_rank,sample_id,scenario,safe,solver_success,solver_valid,steady_state_valid,limiter_parity_valid,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max,steady_state_residual_max,d_hat_norm_max,d_controllable_norm_max,d_uncontrollable_norm_max
dr_tsrmpc_001,1,stochastic_dev_0009,WIND_3D_SETPOINT,True,True,True,True,True,True,5.359999999999999,0.14128986829491919,0.10231573629050109,,,0.010070710843637136,1.9731,8.673617379884035e-19,1.1585601994753553e-17,0.0030187046466707453,0.003011581724931558,0.0002083199580489191
dr_tsrmpc_001,1,stochastic_dev_0010,WIND_3D_SETPOINT,True,True,True,True,True,True,1.665,0.06214288045658291,0.5196283018363221,,,0.32564889149550225,2.1476,1.3877787807814457e-17,2.0296228200128754e-16,0.04645340738832704,0.01791526681983539,0.04633793928827084
dr_tsrmpc_001,1,stochastic_dev_0011,WIND_3D_SETPOINT,True,True,True,True,True,True,1.25,0.05223433549740333,0.10634426594869623,,,0.2825028463488681,2.0787,3.469446951953614e-18,2.266645574799454e-16,0.04645567427663589,0.003302393458573353,0.046395654078730385
dr_tsrmpc_001,1,stochastic_dev_0012,WIND_3D_SETPOINT,True,True,True,True,True,True,2.1799999999999997,0.053837095697056754,0.2646656894852268,,,0.0449914210248263,2.4142,1.3663552678178092e-07,3.3166170379521146e-17,0.009404885807630778,0.009392948101491381,0.0005325158339302278
dr_tsrmpc_001,1,stochastic_dev_0013,WIND_3D_SETPOINT,True,True,True,True,True,True,2.5,0.05738433494775838,0.3824699426781601,,,0.05472620157380968,1.6883,9.717480797810651e-08,4.609404223729318e-17,0.012861691074224387,0.01284485854953183,0.0007062232677559669
dr_tsrmpc_001,1,stochastic_dev_0014,WIND_3D_SETPOINT,True,True,True,True,True,True,4.995,0.08745951058859522,0.27577632942366,,,0.023779559636529106,2.0494,6.938893903907228e-18,3.018045473048753e-17,0.007838568377256244,0.007823569654396473,0.0005046584750298667
dr_tsrmpc_001,1,stochastic_dev_0015,WIND_3D_SETPOINT,True,True,True,True,True,True,4.985,0.08554356219584516,0.14447710914553827,,,0.014873467932178808,1.8254,1.734723475976807e-18,2.3142284620716558e-17,0.005657644439452203,0.005649717579711034,0.000304182741774994
dr_tsrmpc_001,1,stochastic_dev_0016,WIND_3D_SETPOINT,True,True,True,True,True,True,1.04,0.0327626103963395,0.24051016941885173,,,0.12370813684682347,1.872,1.734723475976807e-18,1.4446814577500932e-16,0.02808853001613507,0.006690947641907534,0.027880694492354387
dr_tsrmpc_001,1,stochastic_dev_0017,WIND_3D_SETPOINT,True,True,True,True,True,True,1.005,0.03720293755696527,0.18661172757592356,,,0.14439380583413733,1.7081,6.938893903907228e-18,1.5989121631978858e-16,0.028249986073240498,0.007956054728652419,0.027909063412640708
dr_tsrmpc_001,1,stochastic_dev_0018,WIND_3D_SETPOINT,True,True,True,True,True,True,3.7250000000000005,0.09661349384830481,0.5269284457988641,,,0.10469878593518347,1.8709,3.624316503580971e-07,6.020913559355765e-17,0.016198872942111624,0.016198635733551115,0.0011342919193346392
dr_tsrmpc_001,1,stochastic_dev_0019,WIND_3D_SETPOINT,True,True,True,True,True,True,2.49,0.08775001542832386,0.5562651972867684,,,0.10946160146692574,1.9757,3.328938499302936e-07,5.491445528224931e-17,0.015792764088196198,0.015792737462504758,0.0010744448279012531
dr_tsrmpc_001,1,ramp_dev_0_to_3p0,RAMP_WIND_EQUILIBRIUM_HOLD,True,True,True,True,True,True,0.0,0.05096794355289688,0.35414966576278595,0.08849819468914359,0.07301984819289327,0.2580823432200785,1.9496,8.758115402030107e-47,1.0280801146602726e-16,0.02751480780182769,0.027511362185397455,0.0007798168128723674
dr_tsrmpc_005,2,calm__+x_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,2.15,0.05423361311145642,0.2636670982303469,,,0.03993345022223623,1.9863,8.758115402030107e-47,3.380579606262287e-17,0.009782780297340228,0.009782765892410042,0.000537697109949179
dr_tsrmpc_005,2,wind_1p5__+x_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,2.0949999999999998,0.05306836341277005,0.3276260126576131,,,0.0720880402041691,2.0156,1.3877787807814457e-17,4.407638748137159e-17,0.011298507113207719,0.01129846044214082,0.0006211307334987855
dr_tsrmpc_005,2,wind_3p0__+x_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,1.92,0.07591240628060168,0.7734601706757683,,,0.6293708210147717,2.0377,1.3877787807814457e-17,1.1917422137989872e-16,0.029595391014009983,0.02958354511708049,0.00184846936242481
dr_tsrmpc_005,2,calm__-x_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,2.15,0.05422840019943447,0.26387958068165795,,,0.039939053343797486,2.0951,8.758115402030107e-47,3.39029149738932e-17,0.009779873998328782,0.009779831546640786,0.0006147983141001193
dr_tsrmpc_005,2,wind_1p5__-x_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,2.1850000000000005,0.061048562879917445,0.27922632222255095,,,0.0755410035036422,2.0095,6.938893903907228e-18,5.093216842612246e-17,0.012255981573444659,0.012245273939556225,0.0005686551837362208
dr_tsrmpc_005,2,wind_3p0__-x_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,2.4299999999999997,0.10036241270559647,0.7139495597941605,,,0.6538279395025892,1.9186,0.0,1.219670978111193e-16,0.03081110389668663,0.030804331709304328,0.00184846936242481
dr_tsrmpc_005,2,calm__+y_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,4.955,0.09327564472024619,0.0,,,0.004016286707764589,1.9455,9.62964972193618e-35,4.296037051905129e-20,1.684028208401738e-05,1.4576486069578683e-10,1.684028208338653e-05
dr_tsrmpc_005,2,wind_1p5__+y_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,4.955,0.08641698863138976,0.17670100364970387,,,0.03677502986525248,1.9261,0.0,2.7969066293879695e-17,0.007062051538141868,0.0070609862502090046,0.00038652799519408123
dr_tsrmpc_005,2,wind_3p0__+y_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,4.955,0.10980331248609432,0.7056126091303478,,,0.6055586062298699,1.9937,0.0,1.1510598495223932e-16,0.02883990552782634,0.028834452537966,0.00184846936242481
dr_tsrmpc_005,2,calm__-y_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,4.955,0.09327564472024619,0.0,,,0.004016286707764589,2.1713,9.62964972193618e-35,4.296037051905129e-20,1.684028208401738e-05,1.4576486069578683e-10,1.684028208338653e-05
