sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum
v5d_calm_16,NORMAL_CALM,paper_incremental_mpc,paper_b_021,True,False,,17.368362299783946,5.9147735802777675,6.282624340361138,26.459664621114687,49.72259085447476,2.0,0.12916533641030736,139.63588090901365,1.2473988169835604,0.20778543491581636,[],1.0382,0.05394190871369295,0.0,not_applicable
v5d_moderate_16,NORMAL_CONSTANT,paper_incremental_mpc,paper_b_021,True,False,,34.355349079463366,7.519857979511084,30.61911740951827,54.83056411846625,68.96144153020921,2.0,0.13196133192628068,139.04254393203732,1.2245355261363808,0.22113791003634672,[],1.0448,0.5892116182572614,0.0,cross
v5d_calm_17,NORMAL_CALM,paper_incremental_mpc,paper_b_021,True,False,,17.840652970324108,5.407562920248618,7.460232370290737,27.507122747147935,44.25414311979769,2.0,0.15139782095470836,137.31539783215982,1.2211552185889365,0.20644122794654868,[],0.9985,0.0912863070539419,0.0,not_applicable
v5d_moderate_17,NORMAL_CONSTANT,paper_incremental_mpc,paper_b_021,True,False,,35.120786287847885,7.500605641326688,30.952855992205503,56.077124532853226,69.92016186637562,2.0,0.15139782095671836,138.66777956786493,1.2124957368013225,0.22380462756951874,[],1.0323,0.43983402489626555,0.0,cross
v5d_strong_preexisting_aligned_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,40.50948166141271,8.03981885427228,39.92475678151641,64.20156900859111,69.13818372375374,2.0,0.1426291900294264,138.569340626949,1.288503338527748,0.22573549893481112,[],1.0165,0.45228215767634855,0.0,aligned
v5d_strong_preexisting_aligned_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,38.84708501083944,8.075620702201716,39.816300725859854,61.552802465835285,61.67986766687083,2.0,0.20993274254988933,138.64691703053057,1.3292624575861565,0.22851844640102592,[],1.0464,0.42738589211618255,0.0,aligned
v5d_strong_preexisting_aligned_02,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,39.87552836548533,8.048886160568744,39.836309102666384,63.17769814255985,67.43853317918635,2.0,0.15438379970305421,138.67519274108858,1.302913464920042,0.22573549893481112,[],1.0345,0.47717842323651455,0.0,aligned
v5d_strong_preexisting_aligned_03,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,41.73423841393284,8.018345151893506,40.258557482118846,66.20202907160328,71.48938716988869,2.0,0.13895280226256945,138.71962284936023,1.2425653546376185,0.22851844640102592,[],1.0318,0.31950207468879666,0.0,aligned
v5d_strong_preexisting_aligned_04,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,41.53300999364773,8.040008610843838,40.18627449899049,65.8704873633487,71.1834345896285,2.0,0.13780954663939182,138.63899002376465,1.2671404791335528,0.22573549893481112,[],0.9988,0.5145228215767634,0.0,aligned
v5d_strong_preexisting_aligned_05,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,41.47522651080368,8.012052094837177,40.208133602985434,65.77057548278795,71.03432318026577,2.0,0.24359588405942323,138.77048602550852,1.2574315852019704,0.22851844640102592,[],1.0382,0.4190871369294606,0.0,aligned
v5d_strong_preexisting_opposed_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,40.89243530954654,8.049066029336993,40.246467756422184,64.77700726195397,69.58523759263579,2.0,0.13780954663939182,138.55678412292724,1.282456878826885,0.22573549893481112,[],1.027,0.43983402489626555,0.0,opposed
v5d_strong_preexisting_opposed_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,39.71653246422144,8.03550610254281,40.178267696055144,62.869891401329795,66.05826395977498,2.0,0.25,140.8680991864757,1.290931903332555,0.22851844640102592,[],1.0781,0.3029045643153527,0.004149377593360996,opposed
v5d_strong_preexisting_opposed_02,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,39.72060708295615,8.054143878261986,40.11631914974721,62.8832208153469,66.11297326141076,2.0,0.2121145626858449,138.7770376194173,1.3028992045180836,0.22573549893481112,[],1.0192,0.5809128630705395,0.0,opposed
v5d_strong_preexisting_opposed_03,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,41.55899795397399,8.024911214998623,40.490568229951876,65.85273801759736,70.75163154359578,2.0,0.13895280226256945,138.7754443640603,1.2678882457599803,0.22851844640102592,[],1.0297,0.5850622406639004,0.0,opposed
v5d_strong_preexisting_opposed_04,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,39.75236456354872,8.075803330666913,40.0720037733297,62.940976041500086,66.4510319993854,2.0,0.25,138.73684873716607,1.2907613019665223,0.22573549893481112,[],1.0164,0.5892116182572614,0.004149377593360996,opposed
v5d_strong_preexisting_opposed_05,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,40.59976632347216,8.023223961199026,40.29338750966359,64.28573299885359,68.75791118257234,2.0,0.25,138.88152627846716,1.2821120678801838,0.22851844640102592,[],1.0433,0.3651452282157676,0.004149377593360996,opposed
