sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum
v5d_strong_preexisting_cross_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_002,True,False,,36.537402593713765,7.665459391975925,33.48372296485193,58.30771101233912,65.95257163416807,2.0,0.10479310636777073,138.31088359462814,1.1068021528157201,0.16094228193689092,[],0.9398,0.42738589211618255,0.0,cross
v5d_strong_simultaneous_aligned_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,16.87875422391345,7.1716156791039225,8.0556811048114,26.228054046997006,48.96316813253528,2.0,0.11381380180615716,138.1885176945394,1.134675208935573,0.16514444299619413,[],0.9316,0.27385892116182575,0.0,aligned
v5d_strong_simultaneous_aligned_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,14.362161488381549,7.257283835904014,7.496190271290642,22.65172741216323,39.57403733015554,2.0,0.16690871588134484,138.13353162067222,1.1808701491632603,0.15760978742758558,[],0.9809,0.17012448132780084,0.0,aligned
v5d_strong_simultaneous_aligned_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,15.870401013676334,7.209072199097538,7.876224093351895,24.77464278013888,46.84263206993725,2.0,0.12319252857142383,138.4672944797104,1.115355874119671,0.15966523898329085,[],1.0126,0.17842323651452283,0.0,aligned
v5d_strong_simultaneous_aligned_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,18.557992684795586,7.101272871845016,8.212045341510649,28.69164493149294,51.395266635136394,2.0,0.10258294614070795,138.2586537548731,1.1246602511805814,0.17685150044010864,[],0.9837,0.26141078838174275,0.0,aligned
v5d_strong_simultaneous_opposed_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,18.620089550710436,7.247099604834654,10.12804247002705,29.222691902169228,50.83300756466972,2.0,0.09723929127290853,138.26486175035768,1.1284539607460493,0.1649920119736322,[],0.9733,0.23651452282157676,0.0,opposed
v5d_strong_simultaneous_opposed_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,16.589442172123405,7.291768392054577,9.498882412128589,26.225858055765165,46.276313690838094,2.0,0.25,138.68122281955667,1.1454933257365496,0.1597870734148485,[],0.6856,0.13692946058091288,0.004149377593360996,opposed
v5d_strong_simultaneous_opposed_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,17.315455891845684,7.330290152507581,10.348708741017491,27.459901640198506,46.958713211902534,2.0,0.16879819990215894,138.85328668867487,1.1307351878934153,0.15925435035330024,[],0.8975,0.16597510373443983,0.0,opposed
v5d_strong_simultaneous_opposed_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,19.912349648908272,7.226438862625723,10.865629300283489,31.25252200130967,52.606990211050025,2.0,0.09987315745228176,138.7274828138856,1.092872385774361,0.16950536074166805,[],0.8442,0.22406639004149378,0.0,opposed
v5d_strong_simultaneous_cross_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,18.741692378767176,7.1683719996177,9.061111340310886,29.155271058420805,51.577371681503664,2.0,0.20254727261794042,138.49089211835758,1.1345529385361663,0.1727841837385606,[],0.8465,0.2821576763485477,0.0,cross
v5d_strong_simultaneous_cross_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,21.04731259593426,7.16366690156948,10.487357917741043,32.873206334022974,54.09731150929255,2.0,0.10195117630988104,138.2014448838424,1.094065970313975,0.1826757621688968,[],0.8768,0.21161825726141079,0.0,cross
v5d_strong_simultaneous_cross_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,15.019556268023962,7.293905337485821,8.210272125348421,23.751306395370392,41.26899819492467,2.0,0.25,138.75084835885798,1.1436629511459746,0.15379592708265644,[],0.7791,0.11618257261410789,0.004149377593360996,cross
v5d_strong_simultaneous_cross_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_002,True,False,,18.94041804543293,7.139029634203719,8.923720559659825,29.41470952844162,51.84621556725883,2.0,0.25,138.4239598062278,1.1291001615400342,0.1742041925773228,[],0.8758,0.27800829875518673,0.004149377593360996,cross
v5d_calm_00,NORMAL_CALM,paper_incremental_mpc,paper_a_003,True,False,,24.43621540308369,6.662136578187108,14.833163585396715,38.754058778747556,62.6994527956821,2.0,0.2499990384080338,139.038446158365,1.3657007045846385,0.2408679044253445,[],1.6675,0.2033195020746888,0.0,not_applicable
v5d_moderate_00,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_003,True,False,,37.87254512174026,7.697263384908906,34.98455454802862,60.236864514044804,72.91052037714877,2.0,0.24818503210254034,139.15301025798726,1.3633386135549481,0.2551121323968716,[],1.4227,0.2946058091286307,0.0,aligned
v5d_calm_06,NORMAL_CALM,paper_incremental_mpc,paper_a_003,True,False,,24.97121451982535,6.668425668372771,15.22304249465476,39.63638086818491,63.2281505281372,2.0,0.1881311791328315,138.83822442428655,1.3503520016373554,0.23844265010535493,[],1.9397,0.17427385892116182,0.0,not_applicable
v5d_moderate_06,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_003,True,False,,38.35712018089993,7.726884442730601,35.4047132975886,60.992888770966196,73.33908842191654,2.0,0.19092764761612158,139.25514604646335,1.348121725756434,0.2551121323968716,[],1.6046,0.29045643153526973,0.0,opposed
v5d_calm_12,NORMAL_CALM,paper_incremental_mpc,paper_a_003,True,False,,22.59307637620321,6.305326715645402,10.719339668773689,35.37292420475239,56.54460271774076,2.0,0.25,140.04012160463012,1.329257651620092,0.24355875526512843,[],1.4542,0.1950207468879668,0.004149377593360996,not_applicable
v5d_moderate_12,NORMAL_CONSTANT,paper_incremental_mpc,paper_a_003,True,False,,39.337471058250124,7.746221589908489,35.80451355851519,62.63963718405628,74.80432044529184,2.0,0.25,139.46915979872526,1.3167854746660195,0.2551121323968716,[],1.8106,0.24066390041493776,0.004149377593360996,cross
v5d_strong_preexisting_aligned_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_003,True,False,,44.732344082448996,8.22128827098708,43.59351315795522,70.74802196392483,75.04419882974057,2.0,0.25,138.83903446498624,1.3720085682856622,0.2924673517326989,[],1.7024,0.4854771784232365,0.004149377593360996,aligned
v5d_strong_preexisting_aligned_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_003,True,False,,41.91162612304722,8.235626190732367,42.94753447888857,66.09460777936872,69.02209319693647,2.0,0.2499999999913936,138.99385888632156,1.43103267076726,0.29760356535554827,[],2.0907,0.33195020746887965,0.0,aligned
v5d_strong_preexisting_opposed_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_003,True,False,,45.17228655281442,8.222689406448518,43.973471608360136,71.42580015557317,75.47527031315587,2.0,0.1685100408561759,138.9378149764114,1.36024597105291,0.2924673517326989,[],1.7382,0.5394190871369294,0.0,opposed
v5d_strong_preexisting_opposed_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_003,True,False,,43.42694899834241,8.226635988164915,43.48806712582539,68.50591110409555,72.57949911050903,2.0,0.25,145.27097759993973,1.4016787839644296,0.29760356535554827,[],1.7557,0.35269709543568467,0.0,opposed
v5d_strong_preexisting_cross_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_003,True,False,,45.9763991983606,8.222286105103496,44.248195126840606,72.80134029179492,77.00161019326151,2.0,0.25,139.24872690751096,1.3242021558628465,0.2924673517326989,[],1.728,0.22821576763485477,0.0,cross
v5d_strong_preexisting_cross_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_a_003,True,False,,47.26363652142097,8.198909714334611,45.01189867400013,74.94103794598517,78.96589456119419,2.0,0.25,139.0657395288771,1.5053983426098074,0.29760356535554827,[],1.4605,0.33195020746887965,0.004149377593360996,cross
v5d_strong_simultaneous_aligned_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_003,True,False,,25.06905326052883,7.734803104925343,13.319783875811863,39.48920311257936,60.471838753896755,2.0,0.2499990384080338,140.25295550449127,1.3660891418206875,0.3120003789878716,[],1.4637,0.0995850622406639,0.0,aligned
v5d_strong_simultaneous_aligned_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_003,True,True,1.6050000000000004,13.750088808929588,7.373168641030986,3.1531195378706176,20.275124501744965,48.59198099619298,2.0,0.24999617673168645,138.4289529700447,1.4704838676188283,0.2779672799250652,[],1.3379,0.24066390041493776,0.0,aligned
v5d_strong_simultaneous_aligned_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_003,True,False,,23.080983594607112,7.7207164394513645,11.713567673167274,36.174462219650934,58.666926114135734,2.0,0.24999999999999997,139.62725596155659,1.4154360651724605,0.30991916475474884,[],1.8586,0.13278008298755187,0.004149377593360996,aligned
v5d_strong_simultaneous_aligned_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_003,True,False,,26.91786145347302,7.6055647615865904,14.491608741149465,42.5528859508026,61.554615136258704,2.0,0.25,140.06812792150112,1.3330426756888267,0.29512355171684346,[],1.9876,0.14107883817427386,0.004149377593360996,aligned
v5d_strong_simultaneous_opposed_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_a_003,True,False,,29.54591747076446,7.896648131530552,19.681640620692495,47.15303463866964,64.78436360328757,2.0,0.1881311791328315,138.2842357078676,1.323576850301593,0.34591831144008645,[],1.4834,0.24066390041493776,0.0,opposed
