time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x
0.9550000000000001,0.005622302814445481,0.008818476635985093,0.0693674571214454,0.005792637792074352,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002885394038499966,-3.0550557823965992e-18,3.199614333040742,0.23062119002160789,3.3969355076111542e-18,0.38988814438638325,0.225,0.0,0.38999999999999996,-0.2755648017701602,129.91572860832682,0.005680310823593358,0.0237,-0.025279875183128273
0.96,0.005666137327552081,0.008743221831569538,0.07099589585316562,0.005582013852863212,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002885656571339677,-3.100405360931795e-18,3.199609498053679,0.23066506470893416,3.3886670132195965e-18,0.3898897545544352,0.225,0.0,0.38999999999999996,-0.23316710500027646,129.915735388158,0.005656208758181031,0.0237,-0.018123382823350943
0.965,0.005709608207624171,0.008669080763962675,0.07256732039121475,0.005392827729324427,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002885741321332667,-3.146181403845947e-18,3.1996047219794788,0.2307085714992484,3.3793594861913916e-18,0.38989120053980686,0.225,0.0,0.38999999999999996,-0.3024367169052664,129.91574199945336,0.005615102705882832,0.0237,-0.03041678079302506
0.97,0.005752709924947131,0.008592533356655664,0.07408994620715756,0.005240003423421291,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002885653437460175,-3.1923871572116555e-18,3.199600004846916,0.23075170569181305,3.3690098940955183e-18,0.38989251458075336,0.225,0.0,0.38999999999999996,-0.2259385603895408,129.91574844361566,0.005561886980757796,0.0237,-0.01701486412744363
0.975,0.00579543962531266,0.008517856160928932,0.07556867737799623,0.0050856882454899475,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002885403692375149,-3.2390258156074946e-18,3.1995953466848515,0.2307944649573416,3.357615293320947e-18,0.3898937159053083,0.225,0.0,0.38999999999999996,-0.19347080859315474,129.91575472201984,0.00549020810786521,0.0237,-0.012494411606860198
0.98,0.005837802386999065,0.008443527341313664,0.0770041275412202,0.00493734265525345,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002885018124985116,-3.286100522139739e-18,3.1995907475260164,0.23083685455655412,3.3451728390481065e-18,0.38989480686673783,0.225,0.0,0.38999999999999996,-0.01431733365379323,129.91576083572485,0.005402170486110434,0.0237,-8.015775921197978e-05
0.985,0.005879803198923441,0.008371000661972128,0.0783962223060566,0.004782763877713049,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002884521856174616,-3.3336143684677593e-18,3.199586207401837,0.23087887959849035,3.3316797525590586e-18,0.3898957871192013,0.225,0.0,0.38999999999999996,-0.05810850130166273,129.9157667859118,0.0052958651191674574,0.0237,-0.001157551367310563
0.99,0.005921444611994284,0.008297846352391237,0.07974540138908466,0.0046374767594207006,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002883935028820791,-3.3815703948267306e-18,3.1995817263409254,0.23092054277881122,3.317133310060081e-18,0.3898966583473009,0.225,0.0,0.38999999999999996,-0.05316656190539324,129.91577257397287,0.005174802568447389,0.0237,-0.0009723577444667193
0.995,0.005962723365624042,0.008224284175319691,0.08105389686992834,0.00449857166116855,True,False,0.013345298121341874,1.0991522133415067e-16,0.002376851996135661,0.002883266756753095,-3.4299715900500538e-18,3.19957730436693,0.2309618410903032,3.3015308304429554e-18,0.3898974292978906,0.225,0.0,0.38999999999999996,0.029333168101265003,129.915778201693,0.005039172328805509,0.0237,0.00026589846959022205
1.0,0.006003637381854915,0.008150500009659407,0.08232322062409088,0.004363901588545628,True,False,0.008849446704537994,1.16760981668302e-16,0.0030103966845014428,0.0028825281004850657,-3.4788208915912724e-18,3.1995729415033476,0.23100277264290828,3.2848696987177687e-18,0.38989810588654006,0.225,0.0,0.38999999999999996,-0.052530948678314426,129.92419684881966,0.011975632667973041,0.025,-0.0009493670746658255
