time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,ax_cmd,ay_cmd,az_cmd,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
0.13,9.682122698467512e-23,-8.836675119124224e-23,3.2,0.225,4.978483989635265e-20,0.38999999999999996,-4.972512380566168e-21,-8.904523101945221e-21,-2.1466522447310794e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,True,-2.374463376101078e-20,3.458918340604178e-21,2.8539576728987745e-21,-1.860549243965763e-22,-1.5187174023584157e-22,-3.7676243288834195e-19,-5.720293898152804e-20,8.937447468157121e-20,2.2730014876908284e-20,-1.3050749899018046e-20
0.135,1.1508406580463798e-22,-1.0847624034801653e-22,3.2,0.225,5.448439237599829e-20,0.38999999999999996,-5.6861573764955536e-21,-1.0264091843709235e-20,-2.146651975246702e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,True,-2.561156399581878e-20,3.1277834844678754e-21,3.3032033552744274e-21,-5.126510713317079e-23,-2.233653418052697e-22,-3.700096610348589e-19,-7.525100347299313e-20,9.032379826868996e-20,3.1185912028453926e-20,-1.5546690728753187e-20
0.14,1.3527283765047612e-22,-1.311648609440233e-22,3.2,0.225,5.924133180047126e-20,0.38999999999999996,-6.3998023724253246e-21,-1.162366058547325e-20,-2.1466517057623245e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,True,-2.744473037135937e-20,2.706408305874247e-21,3.7571956555856736e-21,1.2580419588796294e-22,-3.0733864752337344e-22,-3.6325688918137583e-19,-9.329906796445821e-20,9.127312185580871e-20,3.9641809179999573e-20,-1.8042631558488327e-20
0.145,1.5738754252218953e-22,-1.5643261297926252e-22,3.2,0.225,6.405566121860712e-20,0.38999999999999996,-7.113447368354518e-21,-1.2983229327237262e-20,-2.146651436277947e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,True,-2.924413288763254e-20,2.194792804823293e-21,4.215934573832514e-21,3.451529846668249e-22,-4.037916573901529e-22,-3.5650411732789277e-19,-1.113471324559233e-19,9.222244544292745e-20,4.809770633154522e-20,-2.0538572388223467e-20
0.15,1.8142818041977823e-22,-1.842794964537342e-22,3.2,0.225,6.892738356728575e-20,0.38999999999999996,-7.82709236428412e-21,-1.4342798069001276e-20,-2.1466511667935699e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,True,-3.1009771544638286e-20,1.5929369813150142e-21,4.679420110014948e-21,6.067812592034151e-22,-5.127243714056081e-22,-3.497513454744097e-19,-1.2939519694738838e-19,9.31717690300462e-20,5.655360348309087e-20,-2.3034513217958607e-20
0.155,2.0732256474911534e-22,-2.1497159877942944e-22,3.2,0.225,7.288465501870981e-20,0.38999999999999996,-9.059632627199627e-21,-1.764247290597121e-20,-2.1466528725322075e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,True,-3.2210758432255656e-20,7.126175244548039e-22,5.142258059526926e-21,9.11728271189056e-22,-6.2450141161439045e-22,-1.31609237771658e-19,-2.202888695831761e-19,8.996730970508583e-20,6.589674006581313e-20,-2.1621161699457062e-20
0.16,2.3498482399994446e-22,-2.4897443413934155e-22,3.2,0.225,7.499036280499823e-20,0.38999999999999996,-1.0342384915835855e-20,-2.10019112251006e-20,-2.1466548756135158e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,True,-3.235537449274556e-20,-5.756700996692922e-22,5.557190071968586e-21,1.2701462807434275e-21,-7.28153045654864e-22,7.269424972306551e-20,-2.924804551745479e-19,7.413577733789111e-20,7.77425485531487e-20,-1.9711156166324617e-20
0.165,2.643393142346486e-22,-2.8646937233336503e-22,3.2,0.225,7.54659556155201e-20,0.38999999999999996,-1.1642587395436116e-20,-2.4385493948272574e-20,-2.146657247375642e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,True,-3.151340849986877e-20,-2.17785592998569e-21,5.863663978586484e-21,1.6913029560353816e-21,-8.200675427776423e-22,2.629680242879158e-19,-3.4586955096551255e-19,4.6824746032707126e-20,9.075085287153518e-20,-1.6849638674173424e-20
0.17,2.9523170775109414e-22,-3.2752319177786537e-22,3.2,0.225,7.678587841184865e-20,0.38999999999999996,-1.292874552513061e-20,-2.7779921981751173e-20,-2.14666003816327e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,True,-2.975494319791516e-20,-4.001118044352804e-21,6.0084406199533456e-21,2.177245324532944e-21,-8.943491242400315e-22,4.39280179953191e-19,-3.8103694737587925e-19,9.784058887197672e-21,1.0339523840979631e-19,-1.2586209086218444e-20
0.17500000000000002,3.274369650114917e-22,-3.7225775512098804e-22,3.2,0.225,7.975195502121472e-20,0.38999999999999996,-1.4170824018878482e-20,-3.1212858872881584e-20,-2.1466632648268292e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,True,-2.714914514182138e-20,-5.956986690573139e-21,5.948163911249077e-21,2.7222037466100825e-21,-9.42964992153331e-22,6.019228420902563e-19,-3.9912188896964476e-19,-3.48117880591062e-20,1.1409644151348235e-19,-6.524024313927318e-21
