sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id
constant_1.5_axis_05,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,0.81,0.03801695097764445,0.1883051302636389,0.15098600939382048,0.02483537456328923,0.20718887414652842,0.125,1.1248097001763287e-14,1.0001488186795093,0.125,1.1138356249014749e-14,0.25000000000000006,133.392230056691,0.19703449797391995,0.023432823254294632,0.13799229487713452,0.183,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_00,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,6.545,0.08059271179673887,0.8612684467323951,0.20174128166540917,0.03812703282064016,0.7611684160040324,0.951634870855465,1.1298546792014363,0.018117957424117676,0.25,0.25,0.007145550211802145,130.07848202475202,1.1589403458532808,0.12450275069844441,0.13392269887546857,0.1895,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_01,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,5.290000000000001,0.08367566411458216,0.7341462010899,0.2191236743527703,0.030559439533387165,0.7539596750019794,1.048365129144535,1.1309413123090915,0.018479544429755447,0.2500000000000001,0.25,0.0052404155210176336,130.051262523726,1.1604684534935332,0.13244666971794122,0.13255351936693044,0.1713,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_02,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,6.545,0.0805927117967387,0.8612684467323916,0.2017412816654091,0.03812703282063994,0.761168416004035,0.951634870855465,1.1298546792014408,0.018117957424114726,0.25,0.25,0.007145550211802702,130.07848202475196,1.1589403458532852,0.12450275069844402,0.14313656809662642,0.1879,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_03,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,5.290000000000001,0.08367566411458213,0.7341462010898981,0.2191236743527703,0.030559439533387103,0.753959675001982,1.048365129144535,1.1309413123090948,0.0184795444297566,0.2500000000000001,0.25,0.005240415521017871,130.051262523726,1.160468453493537,0.1324466697179415,0.12649341940857975,0.1678,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_04,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,6.5649999999999995,0.06561506121725907,0.8459015459077941,0.18824761748069224,0.03698992664134278,0.3763168073349752,0.951634870855465,8.448009185598282e-15,0.972388068915543,0.25,8.55774993834682e-15,0.25,142.80933988740335,0.9204757706830415,0.1123031562179157,0.14912611411911703,0.1664,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_05,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,5.305,0.06965144697471841,0.7570802682168699,0.21304101864002503,0.030206629414398417,0.4081355447606109,1.048365129144535,8.652904789227854e-15,0.9748349229166938,0.2500000000000001,8.543164036479316e-15,0.25000000000000006,133.3605797820026,1.085668463611896,0.1441700616387227,0.16116747188671388,0.1692,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_06,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,6.83,0.066086127851574,0.8879048218503501,0.1879921633347,0.03904146411012915,0.4188432708303848,0.951634870855465,1.2568428494428366e-14,0.9701802868929993,0.25,1.2458687741679828e-14,0.25000000000000006,133.5432003683961,1.0561036836759494,0.1385697231148416,0.11673586005830902,0.1748,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_07,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,5.234999999999999,0.06942915650075344,0.7206097912270741,0.21315981306645515,0.02993360647136503,0.37216596148874287,1.048365129144535,1.2363532890798796e-14,0.9678716221248888,0.2500000000000001,1.2473273643547334e-14,0.25,142.8764864101836,0.8835555986830854,0.12203516071088923,0.11372698875468554,0.1484,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_08,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,2.295,0.06540575428348634,0.189640342614478,0.20087045809889514,0.025200988293309325,0.7288185473771,0.125,1.1615198593593268,0.9710413171363692,0.125,0.25,0.25,142.74891361723434,1.1124380014571453,0.023432823254294632,0.1082643898375677,0.139,[],paper_lv2026,paper_a_001
