sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id,method,stage2_rank
constant_1.5_face_diagonal_00,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,False,,1.4186151318284166,35.755188626548424,0.9854622989877643,2.1644582087356077,21.356002690444324,2.0,0.020385622525491465,2.0,0.25,0.01414213562373095,0.25,145.92035227786974,4.771740237936877,2.669992180698579,0.041243315285297795,0.0528,[],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_01,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,False,,1.0606320936016544,28.248500952140702,0.5946380416757396,1.599506254771101,18.011813714258288,2.0,0.020498602564243747,1.884788284795326,0.2500000000000001,0.01414213562373095,0.2500000000000001,150.48891486203766,5.221098271376427,2.8445949016595384,0.03644248229904207,0.054,[],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_02,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,False,,1.4186151318284161,35.75518862654837,0.9854622989877643,2.164458208735607,21.356002690444264,2.0,0.020385622525491465,2.0,0.25,0.01414213562373095,0.25,145.92035227786974,4.771740237936881,2.6699921806985674,0.04197059558517285,0.0534,[],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_03,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,False,,1.0606320936016578,28.24850095214123,0.5946380416757396,1.5995062547711136,18.01181371425804,2.0,0.020498602564243747,1.884788284795258,0.2500000000000001,0.01414213562373095,0.25000000000000006,150.48891486203692,5.221098271376527,2.8445949016598537,0.0378884214910454,0.0548,[],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_04,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,False,,1.392131717273831,21.161077295281782,0.9760405449059388,2.0810565693218823,26.02868116108939,2.0,1.728562285188359e-15,2.0,0.25,1.271602675804534e-16,0.2500000000000001,154.18885108177435,4.473511040538111,3.26549750081542,0.040174968763015406,0.051,[],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_05,WIND_3D_SETPOINT,constant,1.5,-1,2401,False,2295,False,,1.1982073331985916,42.861074903649374,0.5922496836687919,1.9318095552264847,21.57048563880792,2.0,3.479594131333513e-16,2.0,0.2500000000000001,2.011111338211817e-16,0.2500000000000001,140.85682079575014,18.914637094106155,2.260235004797888,0.04058600583090379,0.0543,['attitude'],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_06,WIND_3D_SETPOINT,constant,1.5,-1,2401,False,2370,False,,1.4836493590635023,40.837526764502414,0.9921404597845005,2.317158201691868,24.71822212630579,2.0,1.3909668060357593e-16,2.0,0.25,1.4277411926262883e-16,0.2500000000000001,146.08012399283712,16.765377953551436,3.9135386241059424,0.0372929612661391,0.051,['attitude'],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_07,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,False,,1.2243599296351477,16.157172880342216,0.5890510836683204,1.871718590321802,26.74788731504985,2.0,8.775443244932925e-19,2.0,0.25,6.977791125574329e-19,0.25000000000000006,155.67930928304546,3.228082633177599,2.597035497622416,0.03858521449396085,0.049,[],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_08,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,False,,1.3282593608700617,19.099265236699907,0.7794089363861761,2.018779801793575,26.270726296867394,2.0,0.020635429063150773,2.0,0.25,0.01414213562373095,0.25000000000000006,154.10014888395085,3.8185940284612503,2.378495166193634,0.03876468138275718,0.05,[],pid,pid_combo_003,pid,1
constant_1.5_face_diagonal_09,WIND_3D_SETPOINT,constant,1.5,-1,2401,False,2357,False,,1.3626924806808969,40.88523371579086,0.7896085642276011,2.1552756600907106,23.380227852983516,2.0,0.021470267329634793,2.0,0.2500000000000001,0.01414213562373095,0.25,143.8470402539743,18.075972110027372,3.424496082016008,0.03744618908788005,0.0492,['attitude'],pid,pid_combo_003,pid,1
