candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,parameters
cascaded_relative_pid_010,13,13,5,1.0,0.38461538461538464,1.1,0.709709589048938,0.6906341514840537,1.4616794090588991,3.893997749268951,8.907334497408046,"{'candidate_id': 'cascaded_relative_pid_010', 'uav_kp': [0.650735643081314, 0.8368963764153443, 2.475606506367017], 'uav_kd': [4.1859794697050265, 3.4228448402051006, 2.6407206204751152], 'uav_ki': [0.2619224301053239, 0.23791404339179964, 0.21438996862023565], 'tip_kp': [0.5744845656575891, 0.7866959853794648, 0.34700652580045727], 'tip_kd': [0.17530965845576182, 0.17717133564665222, 0.041362288787516535], 'correction_limit_m': [0.04010687100177806, 0.08099910034569296, 0.06633393940292971], 'correction_slew_m_per_update': 0.028323566865558508, 'integral_limit': 0.19914200505422153, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_011,13,13,5,1.0,0.38461538461538464,1.185,0.8184540859645828,1.1569987274590117,0.951671806435634,4.107972916386801,9.416288429040952,"{'candidate_id': 'cascaded_relative_pid_011', 'uav_kp': [1.2258213911836704, 1.1549463103365014, 2.6966949421315345], 'uav_kd': [3.932927192211291, 4.945706167713469, 3.891325501338458], 'uav_ki': [0.03823894664763712, 0.2475559094979886, 0.26245788231884704], 'tip_kp': [0.05404210115601881, 0.3282310334358646, 0.29993748055202885], 'tip_kd': [0.33706323413848377, 0.773209725129786, 0.1873328381475954], 'correction_limit_m': [0.15661494395575173, 0.022855182575491455, 0.08599785437636473], 'correction_slew_m_per_update': 0.05489782312150626, 'integral_limit': 0.4388360316436436, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_012,13,13,3,1.0,0.23076923076923078,0.96,0.6951791731752693,1.5596922947699232,1.5605093233491711,3.703530791612232,8.662642658916162,"{'candidate_id': 'cascaded_relative_pid_012', 'uav_kp': [1.464713098683542, 1.1578464278918807, 4.748700620889838], 'uav_kd': [2.9112333502986067, 2.579472189876231, 4.080116114636923], 'uav_ki': [0.2840625517722577, 0.17917974493669553, 0.2990191425826466], 'tip_kp': [0.5903920375647352, 0.007138171819435131, 0.24164193350569457], 'tip_kd': [0.07374348843590907, 0.45937013137221866, 0.14080943620198846], 'correction_limit_m': [0.05358612432110556, 0.06803851496617562, 0.1071878141320884], 'correction_slew_m_per_update': 0.05705684818792748, 'integral_limit': 0.20883818579597146, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_013,13,13,3,1.0,0.23076923076923078,1.6150000000000002,0.9986311102361815,2.3558988017535656,1.0691996320497916,4.787939654452606,10.690718572043494,"{'candidate_id': 'cascaded_relative_pid_013', 'uav_kp': [1.4883831506167238, 1.0552098743455671, 1.8865243464859462], 'uav_kd': [1.6686417025815043, 5.6518569732069235, 3.247492729691714], 'uav_ki': [0.03071967595900239, 0.14782866115779766, 0.27270332747413534], 'tip_kp': [0.09677554294570632, 0.6178912689113756, 0.0471410872506284], 'tip_kd': [0.30805152391414864, 0.7397690093738489, 0.3066447187223802], 'correction_limit_m': [0.12440112118287476, 0.07516017991790093, 0.02531740420090571], 'correction_slew_m_per_update': 0.06010004620351153, 'integral_limit': 0.45320790789966403, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_014,13,13,5,1.0,0.38461538461538464,1.06,0.6383710930560811,1.019486953760424,0.721453809292681,2.6797344648713723,9.577230780379194,"{'candidate_id': 'cascaded_relative_pid_014', 'uav_kp': [1.2785762121711244, 0.7904994829339728, 4.987592841474831], 'uav_kd': [4.746319334710712, 5.603893121954158, 5.062594831453085], 'uav_ki': [0.274471560410933, 0.28960875652590945, 0.019230027602137885], 'tip_kp': [0.601943865964254, 0.6700390161196218, 0.09800377245547663], 'tip_kd': [0.43763017160268264, 0.4364842252942264, 0.3985708439914539], 'correction_limit_m': [0.044107860763260225, 0.05704976793315571, 0.03739683872456068], 'correction_slew_m_per_update': 0.06974151242999874, 'integral_limit': 0.10630594250055483, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_015,13,13,5,1.0,0.38461538461538464,2.215,0.4733369448237124,1.0636318451005011,0.6370089598143128,1.8726421761582586,7.789942382178937,"{'candidate_id': 'cascaded_relative_pid_015', 'uav_kp': [0.7203256669974719, 0.6483389692841505, 1.5221579420106233], 'uav_kd': [3.364426026025151, 4.862489779443864, 4.701780512196457], 'uav_ki': [0.09414460444176585, 0.12790372502696704, 0.2832691393849027], 'tip_kp': [0.5138356061607878, 0.40656528577075274, 0.18814094458954747], 'tip_kd': [0.42175798630751543, 0.11932408511621324, 0.12176182105029419], 'correction_limit_m': [0.127801082997708, 0.1372935434106103, 0.11295800431402875], 'correction_slew_m_per_update': 0.010923414231463932, 'integral_limit': 0.2586432674955545, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_016,13,13,7,1.0,0.5384615384615384,2.68,0.4001483862290455,0.49632760382789065,0.4751045452372117,1.5202890847806543,6.519152086210722,"{'candidate_id': 'cascaded_relative_pid_016', 'uav_kp': [0.34249295258874224, 0.3084851659625438, 3.6486520285432693], 'uav_kd': [2.066653893591558, 6.8789949116756155, 2.003898257109006], 'uav_ki': [0.27181406310553735, 0.17446082341776414, 0.15976826056932728], 'tip_kp': [0.11541702436775945, 0.48743584271010665, 0.2624410353925312], 'tip_kd': [0.001202519961921014, 0.47131994303098157, 0.2744956486601458], 'correction_limit_m': [0.05148382166597207, 0.08467483394378991, 0.05183155603123886], 'correction_slew_m_per_update': 0.029958772457630983, 'integral_limit': 0.2912774651155794, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_017,13,13,3,1.0,0.23076923076923078,2.0500000000000003,0.22281046368137103,1.779664561029913,0.38511612410192897,0.517043740167472,3.499509482261072,"{'candidate_id': 'cascaded_relative_pid_017', 'uav_kp': [1.3977728325041734, 0.1780121434425708, 2.184046460429042], 'uav_kd': [2.85950164250275, 4.610423995871343, 5.396950813242288], 'uav_ki': [0.24720634436588265, 0.25127122639051713, 0.009718673913021102], 'tip_kp': [0.1256760573432608, 0.6982882771243659, 0.3135293272138608], 'tip_kd': [0.5560860507832686, 0.2371847397691884, 0.06141910639582995], 'correction_limit_m': [0.06614119770963747, 0.02774360345108547, 0.11031128602643794], 'correction_slew_m_per_update': 0.014838897151910526, 'integral_limit': 0.15189770342147413, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_018,13,13,5,1.0,0.38461538461538464,1.0300000000000002,0.4876167339201855,1.0968304546611736,1.070685286395676,2.5184811636116855,6.292226174049349,"{'candidate_id': 'cascaded_relative_pid_018', 'uav_kp': [0.6996831981982294, 0.7454521587146117, 4.55400512778694], 'uav_kd': [4.230702036581493, 2.438719768098284, 2.9059221222531098], 'uav_ki': [0.1847890988416207, 0.05971984686816058, 0.1326691835282141], 'tip_kp': [0.6945012175760708, 0.23852578468200797, 0.4907866573279029], 'tip_kd': [0.45991606861529355, 0.6386858917012487, 0.31724861797837967], 'correction_limit_m': [0.1365393771702415, 0.1049417962702761, 0.08929703569867503], 'correction_slew_m_per_update': 0.026385746306392156, 'integral_limit': 0.20301240156187783, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_019,13,13,5,1.0,0.38461538461538464,1.065,0.2943732395997374,2.741073853811837,0.6541913885715439,0.5804305855540092,5.0018383015135175,"{'candidate_id': 'cascaded_relative_pid_019', 'uav_kp': [1.1442909784204218, 0.22556606689940567, 3.9783467521334863], 'uav_kd': [1.8339244741243892, 4.522677249362674, 2.790854842601418], 'uav_ki': [0.19140907834044368, 0.10987617100953738, 9.837813305339018e-05], 'tip_kp': [0.798867043561899, 0.5493909381096976, 0.12804926635196204], 'tip_kd': [0.216861091556851, 0.04729186994451616, 0.35225152508512725], 'correction_limit_m': [0.14833077037441894, 0.07315652140394105, 0.04319732272010246], 'correction_slew_m_per_update': 0.03752113144553909, 'integral_limit': 0.42783845929575837, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_020,13,13,3,1.0,0.23076923076923078,1.475,0.2735835537645289,1.4189417560500073,0.5274341912575629,1.0062625590208882,5.288151685343862,"{'candidate_id': 'cascaded_relative_pid_020', 'uav_kp': [1.31034391430033, 0.4482493487928316, 1.848913452085052], 'uav_kd': [4.497795084198392, 3.5658102065489556, 3.4470784979500717], 'uav_ki': [0.12413646384924135, 0.09652955489463332, 0.06663028078873057], 'tip_kp': [0.3199351682199924, 0.35987113753445654, 0.37599377610168294], 'tip_kd': [0.2866363193995079, 0.2716754599911802, 0.23080310208476634], 'correction_limit_m': [0.10220644296139379, 0.08944185785258973, 0.06361007763148714], 'correction_slew_m_per_update': 0.02168654026674323, 'integral_limit': 0.22849797690569984, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_021,13,13,5,1.0,0.38461538461538464,2.725,0.4029690565378677,0.5217615648067268,0.4922475019328709,1.5088442793175103,6.227783994121357,"{'candidate_id': 'cascaded_relative_pid_021', 'uav_kp': [0.30783089903352584, 0.4011351237103521, 1.5993219965677907], 'uav_kd': [2.5623583467890145, 6.756532879030406, 5.61289734821473], 'uav_ki': [0.09142316817870519, 0.0851394550317131, 0.07676577964671168], 'tip_kp': [0.23244767140587608, 0.30968093830000887, 0.2879768574821008], 'tip_kd': [0.31710478804310177, 0.01279708783828, 0.0016534634539436223], 'correction_limit_m': [0.06512972028374556, 0.12858520690513, 0.09268153241220596], 'correction_slew_m_per_update': 0.02426168248522604, 'integral_limit': 0.4172645329656717, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_022,13,13,3,1.0,0.23076923076923078,1.1550000000000002,0.2474144746683639,0.8797737142626345,0.39679269996127653,0.7743194207600614,4.149650679244152,"{'candidate_id': 'cascaded_relative_pid_022', 'uav_kp': [0.8667330270496463, 0.26202052568066614, 3.245072683341151], 'uav_kd': [2.2475928948232764, 5.33856520484, 2.2470083488896533], 'uav_ki': [0.25634433665205575, 0.045418027888083135, 0.08658133414457009], 'tip_kp': [0.44812169367823196, 0.758241767516239, 0.07677294463294143], 'tip_kd': [0.5081998858161342, 0.73288039969031, 0.2567453068022737], 'correction_limit_m': [0.037000545123671215, 0.0588123106877638, 0.02941328777858383], 'correction_slew_m_per_update': 0.021409973238065247, 'integral_limit': 0.23649127445556606, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_023,13,13,3,1.0,0.23076923076923078,5.575,0.41306934855296845,2.3624088975962243,0.551485053368366,1.3090902479760118,7.633830030177939,"{'candidate_id': 'cascaded_relative_pid_023', 'uav_kp': [1.4138556130087903, 0.5756056087586564, 0.9595974832464375], 'uav_kd': [2.771842329211001, 4.749893920482368, 5.789964969632761], 'uav_ki': [0.06377084806733274, 0.2583007771442055, 0.11916236896467955], 'tip_kp': [0.2681025318992342, 0.257604885215885, 0.028927469019283784], 'tip_kd': [0.5972268824112702, 0.6843498667915249, 0.112451541500026], 'correction_limit_m': [0.0997698914075281, 0.040887813684935256, 0.056557570514288585], 'correction_slew_m_per_update': 0.03366504509806205, 'integral_limit': 0.11050932272966903, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_024,13,13,5,1.0,0.38461538461538464,2.085,0.4371159868631985,0.6106991580922482,0.4848177382393264,1.5898062596882465,7.661678100446682,"{'candidate_id': 'cascaded_relative_pid_024', 'uav_kp': [0.3662033900553401, 0.48096943392287217, 2.239684093484703], 'uav_kd': [4.313603372620118, 6.327959418401754, 4.4566464221555275], 'uav_ki': [0.1194946941833584, 0.22181868421183942, 0.013065948276465459], 'tip_kp': [0.39373086183373207, 0.4544568311137844, 0.031180653827771472], 'tip_kd': [0.22985176457896883, 0.7165850896160009, 0.344083827801402], 'correction_limit_m': [0.07666691467958735, 0.12451833773522171, 0.11983978803487717], 'correction_slew_m_per_update': 0.03490722951365988, 'integral_limit': 0.3453721354242552, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_025,13,13,3,1.0,0.23076923076923078,1.0150000000000001,0.750402269088914,1.013469686108799,0.7405403058053092,3.068804554342527,10.24419778291323,"{'candidate_id': 'cascaded_relative_pid_025', 'uav_kp': [0.784680902463454, 1.0209625660218955, 3.59927766940626], 'uav_kd': [1.9925967845293013, 6.174572261905238, 3.2583335973105463], 'uav_ki': [0.04782289669746814, 0.07033754642860376, 0.028242779574503052], 'tip_kp': [0.6226232268353007, 0.21327589705901404, 0.44042096157974087], 'tip_kd': [0.035976722697443016, 0.7862890573308741, 0.3839101303971312], 'correction_limit_m': [0.13134788790992483, 0.04998364784193893, 0.07493989997413185], 'correction_slew_m_per_update': 0.07124701098740673, 'integral_limit': 0.17765825286584652, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_026,13,13,3,1.0,0.23076923076923078,0.9850000000000001,0.21379826641391542,1.119829673941966,0.3415914684841295,0.6159692213227194,3.7111397332137837,"{'candidate_id': 'cascaded_relative_pid_026', 'uav_kp': [1.4283375797951314, 0.20241535174336014, 4.343080881130028], 'uav_kd': [2.989393079490265, 5.250917083009328, 5.948535714058902], 'uav_ki': [0.13462399046602141, 0.15596883611777776, 0.22481130508101976], 'tip_kp': [0.4593577456304253, 0.7460001684463747, 0.5665939013667358], 'tip_kd': [0.12905552861254974, 0.061238549484048624, 0.10148645164356294], 'correction_limit_m': [0.03151959641752413, 0.033819614732132505, 0.09979696103397917], 'correction_slew_m_per_update': 0.05366748144468785, 'integral_limit': 0.3265203658930516, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_027,13,13,3,1.0,0.23076923076923078,1.1099999999999999,0.2522712117864935,1.7479086795586083,0.3519927337476029,0.8308026578928935,2.541459023279912,"{'candidate_id': 'cascaded_relative_pid_027', 'uav_kp': [1.0765787092945374, 0.46888451501853246, 3.0358104050965187], 'uav_kd': [3.207331913181117, 2.038676383116228, 4.161216034106047], 'uav_ki': [0.1962244788361037, 0.08974080434126461, 0.23479296134181565], 'tip_kp': [0.17656726150249424, 0.06828070737269551, 0.3560595825354801], 'tip_kd': [0.48554108055032486, 0.5293434057505286, 0.0917547176637095], 'correction_limit_m': [0.14475138294790213, 0.06541834974144796, 0.05336126330431877], 'correction_slew_m_per_update': 0.07211968958254408, 'integral_limit': 0.41227461691346345, 'tip_velocity_mode': 'relative_to_uav'}"
cascaded_relative_pid_028,13,13,3,1.0,0.23076923076923078,1.6350000000000002,0.8251126897010732,1.5322195781461807,1.485185803950158,4.397051126266475,9.702315084630131,"{'candidate_id': 'cascaded_relative_pid_028', 'uav_kp': [0.964384125395388, 0.8548700787910298, 1.7321986573935242], 'uav_kd': [2.3769836099608597, 3.85115521866034, 3.011163726585165], 'uav_ki': [0.212675082998492, 0.1819183406680781, 0.07254276074129878], 'tip_kp': [0.3831770481352845, 0.6363365532194145, 0.142354552493089], 'tip_kd': [0.5172343091168261, 0.4924609094334323, 0.3328410907519883], 'correction_limit_m': [0.09338186183337908, 0.13419662984072855, 0.09301226124973157], 'correction_slew_m_per_update': 0.07993310278977664, 'integral_limit': 0.17468991937087575, 'tip_velocity_mode': 'relative_to_uav'}"
