round,candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,parameters,calm_axis_acquired_count,competence_pass
R1R1-A,cascaded_pid_020,13,13,3,1.0,0.23076923076923078,0.865,1.7547430626698692,3.5493314875326027,5.515142106610189,6.103407271518146,14.566040063528558,"{'candidate_id': 'cascaded_pid_020', 'uav_kp': [2.3915557877763685, 2.3915557877763685, 5.965928375963981], 'uav_kd': [1.5949714128129422, 1.5949714128129422, 4.870554466567081], 'uav_ki': [0.1872354643121795, 0.1872354643121795, 0.3503996259648504], 'tip_kp': [0.9739262893325789, 0.9739262893325789, 0.7663288627035291], 'tip_kd': [0.38924601124084784, 0.38924601124084784, 0.1800052863747688], 'correction_limit_m': [0.03018915558998107, 0.03018915558998107, 0.13025271502453142], 'correction_slew_m_per_update': 0.04732886004437804, 'integral_limit': 0.08652265784046269}",,
R1R1-A,cascaded_pid_021,13,7,3,0.5384615384615384,0.23076923076923078,1.335,3.839937553692259,8.42884370139441,7.702536700202988,15.474249851179142,30.943633343259123,"{'candidate_id': 'cascaded_pid_021', 'uav_kp': [2.611651251252059, 2.611651251252059, 4.4270517781165175], 'uav_kd': [0.896219776019009, 0.896219776019009, 5.107959743623147], 'uav_ki': [0.1796438363360189, 0.1796438363360189, 0.11106007066200388], 'tip_kp': [0.7774130518324804, 0.7774130518324804, 0.30568912080217525], 'tip_kd': [0.43870811153760575, 0.43870811153760575, 0.4278475786651663], 'correction_limit_m': [0.13808163332052514, 0.13808163332052514, 0.16940381432364454], 'correction_slew_m_per_update': 0.06304391629857413, 'integral_limit': 0.29585066790370057}",,
R1R1-A,cascaded_pid_022,13,8,3,0.6153846153846154,0.23076923076923078,1.185,2.8508297231832986,9.508636924055429,6.542689165099761,10.468233763080107,26.438619424958397,"{'candidate_id': 'cascaded_pid_022', 'uav_kp': [1.9099339315462198, 1.9099339315462198, 2.370562934172418], 'uav_kd': [1.0505854391141953, 1.0505854391141953, 1.6586892701936784], 'uav_ki': [0.27531290411173115, 0.27531290411173115, 0.24073883398099244], 'tip_kp': [0.7298706625505242, 0.7298706625505242, 0.15184996544729512], 'tip_kd': [0.3595988487669694, 0.3595988487669694, 0.48934030620605207], 'correction_limit_m': [0.21969462928498273, 0.21969462928498273, 0.06644648167246828], 'correction_slew_m_per_update': 0.024575592905888045, 'integral_limit': 0.10065323423913977}",,
R1R1-A,cascaded_pid_023,13,13,3,1.0,0.23076923076923078,0.855,1.7615968056209694,6.698872623521653,6.301061630061545,5.855779278336476,20.498387050062906,"{'candidate_id': 'cascaded_pid_023', 'uav_kp': [1.498949872250107, 1.498949872250107, 6.00041004212979], 'uav_kd': [2.628689508677163, 2.628689508677163, 3.041873680842205], 'uav_ki': [0.09823019908894697, 0.09823019908894697, 0.015837085110455586], 'tip_kp': [1.386514696596428, 1.386514696596428, 0.4423772703701664], 'tip_kd': [0.2468269475986075, 0.2468269475986075, 0.4485310513451707], 'correction_limit_m': [0.29660433685046506, 0.29660433685046506, 0.10590711997892559], 'correction_slew_m_per_update': 0.056290494195495054, 'integral_limit': 0.47666775636056946}",,
R1R1-A,cascaded_pid_024,13,12,3,0.9230769230769231,0.23076923076923078,0.915,1.3981485280643946,3.528733369222591,5.004169913075214,6.16966833038515,15.682948416298371,"{'candidate_id': 'cascaded_pid_024', 'uav_kp': [2.2432931715419877, 2.2432931715419877, 6.089602160767831], 'uav_kd': [4.009202469765519, 4.009202469765519, 1.2935576135661573], 'uav_ki': [0.25323336241253463, 0.25323336241253463, 0.13675455937753078], 'tip_kp': [0.3632840009941377, 0.3632840009941377, 0.8895612485519961], 'tip_kd': [0.2858270949894224, 0.2858270949894224, 0.4316208846795608], 'correction_limit_m': [0.14073317440220534, 0.14073317440220534, 0.05565561854677237], 'correction_slew_m_per_update': 0.09527695332359389, 'integral_limit': 0.4363530112024734}",,
R1R1-A,cascaded_pid_025,13,13,3,1.0,0.23076923076923078,1.15,1.0100713593478234,2.230541021221238,1.4355710110589923,5.409937804202337,10.513306597438051,"{'candidate_id': 'cascaded_pid_025', 'uav_kp': [1.3868334169235306, 1.3868334169235306, 4.380441308923998], 'uav_kd': [3.3490306566289307, 3.3490306566289307, 5.553827622216256], 'uav_ki': [0.13875861957143465, 0.13875861957143465, 0.26212855076277375], 'tip_kp': [0.05355041622558362, 0.05355041622558362, 0.5561496103589981], 'tip_kd': [0.5736877050689418, 0.5736877050689418, 0.13683580977218146], 'correction_limit_m': [0.25181790876378607, 0.25181790876378607, 0.02063716077072863], 'correction_slew_m_per_update': 0.038835181910316145, 'integral_limit': 0.11189332388606617}",,
R1R1-A,cascaded_pid_026,13,10,3,0.7692307692307693,0.23076923076923078,1.1,1.5438166049796829,4.126247335303983,4.200186334207277,7.670171097969175,17.900286323314813,"{'candidate_id': 'cascaded_pid_026', 'uav_kp': [2.4613986970980783, 2.4613986970980783, 2.567433937909164], 'uav_kd': [4.69612854605171, 4.69612854605171, 3.7432025805974143], 'uav_ki': [0.14411720744898054, 0.14411720744898054, 0.29276533414277084], 'tip_kp': [0.22815276583728505, 0.22815276583728505, 0.6104988936916114], 'tip_kd': [0.7242732616218265, 0.7242732616218265, 0.16134899627811095], 'correction_limit_m': [0.226144889054868, 0.226144889054868, 0.14047327939611448], 'correction_slew_m_per_update': 0.019740095621198377, 'integral_limit': 0.4886991053883876}",,
R1R1-A,cascaded_pid_027,13,10,3,0.7692307692307693,0.23076923076923078,1.02,1.4821441248183764,4.380578182461544,6.196774991179928,5.095362569552653,17.989386447309133,"{'candidate_id': 'cascaded_pid_027', 'uav_kp': [2.093622128269913, 2.093622128269913, 3.0585303313673124], 'uav_kd': [4.920083112344063, 4.920083112344063, 2.656295960073696], 'uav_ki': [0.24594920793108818, 0.24594920793108818, 0.22379893667315992], 'tip_kp': [1.3730928329761458, 1.3730928329761458, 0.6527381468439181], 'tip_kd': [0.34895384760881687, 0.34895384760881687, 0.3363441194102365], 'correction_limit_m': [0.170185405034014, 0.170185405034014, 0.031034251212101585], 'correction_slew_m_per_update': 0.08821056626071393, 'integral_limit': 0.48555220176206254}",,
R1R1-A,cascaded_pid_028,13,10,5,0.7692307692307693,0.38461538461538464,2.1750000000000003,1.1343945305552454,0.8574685273163776,1.4128494330609573,6.391103881000085,12.032761029184076,"{'candidate_id': 'cascaded_pid_028', 'uav_kp': [1.8245576258221123, 1.8245576258221123, 1.1119250220506416], 'uav_kd': [4.639123805688813, 4.639123805688813, 2.2693197266196417], 'uav_ki': [0.05181813753198932, 0.05181813753198932, 0.004635415573342042], 'tip_kp': [0.03671224811019923, 0.03671224811019923, 0.2736494661068335], 'tip_kd': [0.035192116105851996, 0.035192116105851996, 0.5970806466441713], 'correction_limit_m': [0.1874756824825123, 0.1874756824825123, 0.034626447213784696], 'correction_slew_m_per_update': 0.04927148146488512, 'integral_limit': 0.15672802411992792}",,
R1R1-A,cascaded_pid_029,13,7,3,0.5384615384615384,0.23076923076923078,0.935,3.8378466118440144,9.10250971703575,9.195447918375729,15.751306092217487,32.25187070641373,"{'candidate_id': 'cascaded_pid_029', 'uav_kp': [3.447909618073685, 3.447909618073685, 5.175965287715266], 'uav_kd': [1.1914004289722964, 1.1914004289722964, 2.1766066746759667], 'uav_ki': [0.04608276273004471, 0.04608276273004471, 0.19092207910724324], 'tip_kp': [0.6066446516541635, 0.6066446516541635, 0.04837578996213107], 'tip_kd': [0.7046214638593004, 0.7046214638593004, 0.35974535787335604], 'correction_limit_m': [0.10791370307728036, 0.10791370307728036, 0.07371525702291705], 'correction_slew_m_per_update': 0.07556341572907777, 'integral_limit': 0.24628870413299708}",,
