controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,x_control_effort,total_acceleration_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_abs_ay_m_s2,max_ay_step_m_s2,max_abs_az_m_s2,max_az_step_m_s2,max_cutter_angular_speed_rad_s,max_thrust_N,max_abs_torque_Nm
pid,1,wind_1p5__+y_r0.25,True,True,7.029999999999999,0.14915524526570886,0.34103425328426573,,,0.03810020145585179,0.03810020145585179,0.045062354618101576,0.09694949216628358,0.011561724445946595,0.057362679822828985,0.025,0.015264765741152963,0.009314788800468661,0.02188533904824003,130.0866843030374,0.07474198657831914
pid,1,wind_3p0__+y_r0.25,True,False,,0.24103728175650274,1.1328094531072124,,,0.6194434568531347,0.6194434568531347,0.6346179565356518,0.3851947526128708,0.04641120910009086,0.05740482727151361,0.025,0.07528810868013902,0.04263443656845487,0.10069606360324712,130.75674525126715,0.20207462197143172
pid,1,calm__-y_r0.25,True,True,5.34,0.15545997022509508,0.0,,,0.0,0.0,0.0111572132455739,0.0,0.0,0.06013769356692848,0.025,0.0011248228730326635,8.068004949708576e-05,0.00690182891859581,129.89261842751176,0.1154804484858826
pid,1,wind_1p5__-y_r0.25,True,True,7.029999999999999,0.14915524526570886,0.34103425328426573,,,0.03810020145585179,0.03810020145585179,0.045062354618101576,0.09694949216628358,0.011561724445946595,0.057362679822828985,0.025,0.015264765741152963,0.009314788800468661,0.02188533904824003,130.0866843030374,0.07474198657831914
pid,1,wind_3p0__-y_r0.25,True,False,,0.24103728175650274,1.1328094531072124,,,0.6194434568531347,0.6194434568531347,0.6346179565356518,0.3851947526128708,0.04641120910009086,0.05740482727151361,0.025,0.07528810868013902,0.04263443656845487,0.10069606360324712,130.75674525126715,0.20207462197143172
pid,1,calm__+z_r0.25,True,True,1.25,0.05180510724881431,0.0,,,0.0,0.0,0.2795887855244298,0.0,0.0,0.0,0.0,1.006249999999999,0.25,0.0,143.20714999999998,0.0
pid,1,wind_1p5__+z_r0.25,True,True,3.2750000000000004,0.07087459967227557,0.34831878951192863,,,0.0384389307408947,0.0384389307408947,0.32010371259748677,0.09694949216628358,0.011561724445946595,0.0,0.0,1.000821927279154,0.25,0.02188533904824003,143.13593192112177,0.06574025477031262
pid,1,wind_3p0__+z_r0.25,True,False,,0.20226428195447788,1.157731536635965,,,0.6214156446256385,0.6214156446256385,0.9173391313059235,0.3851947526128708,0.04641120910009086,0.0,0.0,0.9990053964719268,0.25000000000000006,0.10069606360324712,143.11967384658902,0.20207462197143172
pid,1,calm__-z_r0.25,True,True,1.25,0.05180510724881431,0.0,,,0.0,0.0,0.2795887855244335,0.0,0.0,0.0,0.0,1.0062500000000014,0.25,0.0,134.29456192176508,0.0
pid,1,wind_1p5__-z_r0.25,True,True,3.2650000000000006,0.07064429421674565,0.3331900239610251,,,0.037748773805155886,0.037748773805155886,0.3158101539317453,0.09694949216628358,0.011561724445946595,0.0,0.0,1.0096798876815618,0.2500000000000001,0.02188533904824003,134.19443714575158,0.06286674217202427
