candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,task_success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,control_effort,x_control_effort,total_acceleration_effort,ramp_peak_position_error_m,ramp_steady_state_position_error_m,gain_norm
lqr_028,8,8,2,1.0,0.25,6.02,0.1348596681734513,1.0263231442823877,0.48082028970230356,0.48082028970230356,0.4884420316946842,0.0,0.0,38.5239568588284
lqr_029,8,8,3,1.0,0.375,5.015000000000001,0.13456600734176222,1.0078641792361882,0.4769761639213279,0.4769761639213279,0.48446614768326823,0.0,0.0,38.9830452476638
lqr_030,8,8,2,1.0,0.25,8.1525,0.13025331142528418,1.3168725130974492,0.6899282757156175,0.6899282757156175,0.7047472379398625,0.0,0.0,43.62854647655452
lqr_031,8,8,2,1.0,0.25,8.1075,0.1298142939101004,1.3018228397421439,0.6839005334446483,0.6839005334446483,0.6985009819388076,0.0,0.0,43.916615397598555
lqr_032,8,8,4,1.0,0.5,4.625,0.1476644338443147,0.7634621108907784,0.38455656623155465,0.38455656623155465,0.38827774773698365,0.0,0.0,36.805108267163455
lqr_033,8,8,4,1.0,0.5,4.2225,0.14839865085449983,0.7346219812934381,0.3798698353789674,0.3798698353789674,0.3834977852879951,0.0,0.0,37.99323651524478
lqr_034,8,8,5,1.0,0.625,4.95,0.13527301359200303,0.9360567705371274,0.4753076728160306,0.4753076728160306,0.48212563284005505,0.0,0.0,41.26456172983611
lqr_035,8,8,5,1.0,0.625,4.815,0.13511165146550935,0.910886453085646,0.46950210478863336,0.46950210478863336,0.4761593867458675,0.0,0.0,42.05695573917542
lqr_036,8,8,2,1.0,0.25,6.5,0.12853842049056816,1.200998598207581,0.6902590306161834,0.6902590306161834,0.7034447049290835,0.0,0.0,46.2193732805823
lqr_037,8,8,2,1.0,0.25,6.4375,0.1281262181271442,1.182032124882856,0.6771599069932195,0.6771599069932195,0.6901109773046342,0.0,0.0,46.730853140641
lqr_038,8,8,0,1.0,0.0,,0.13013706553843313,1.672373563404049,1.5678860735621898,1.5678860735621898,1.6029780111640641,0.0,0.0,51.63807111820698
lqr_039,8,8,0,1.0,0.0,,0.12803034523346868,1.6495588844026041,1.8696806504646026,1.8696806504646026,1.9079814023113584,0.0,0.0,51.98499329732756
lqr_040,8,8,5,1.0,0.625,3.4750000000000005,0.1595551052715657,0.7026468239498621,0.3477940491783966,0.3477940491783966,0.35044607065227734,0.0,0.0,30.288115814971086
lqr_041,8,8,5,1.0,0.625,2.49,0.16077089149303947,0.6756603893021804,0.34367341746194724,0.34367341746194724,0.34625132972897854,0.0,0.0,31.324587092708274
lqr_042,8,8,4,1.0,0.5,5.5425,0.1443139060771556,0.8295518932895409,0.3963571305742829,0.3963571305742829,0.40058093301949754,0.0,0.0,34.365085376193214
lqr_043,8,8,4,1.0,0.5,5.1875,0.14447596531291468,0.8077233759296394,0.39369198885614154,0.39369198885614154,0.397852755918008,0.0,0.0,35.06571183630964
lqr_044,8,8,4,1.0,0.5,6.84,0.13395887410804555,1.0193039331856233,0.5026279524915219,0.5026279524915219,0.5105577472891114,0.0,0.0,38.975865436910965
lqr_045,8,8,5,1.0,0.625,4.99,0.1336782979180421,1.0017763808115954,0.4986441816554875,0.4986441816554875,0.506448646881791,0.0,0.0,39.42011111201046
lqr_046,8,8,2,1.0,0.25,8.075,0.12898525425008966,1.3097981141328299,0.7724192991378362,0.7724192991378362,0.7879201617113096,0.0,0.0,44.001030538335705
lqr_047,8,8,2,1.0,0.25,8.005,0.12869604870976042,1.2975709600999181,0.7601110967452245,0.7601110967452245,0.7753720983138273,0.0,0.0,44.27965287314496
lqr_048,8,8,4,1.0,0.5,4.42,0.152285833297701,0.7380295339789671,0.36806441767493514,0.36806441767493514,0.37134511311394985,0.0,0.0,37.8177529541016
lqr_049,8,8,4,1.0,0.5,4.220000000000001,0.15316062873080885,0.7105523163185818,0.3636854705543252,0.3636854705543252,0.36688275641471774,0.0,0.0,39.01922705921773
lqr_050,8,8,5,1.0,0.625,4.925,0.1384861157393618,0.8887567173052966,0.43411052484373147,0.43411052484373147,0.439740245774543,0.0,0.0,42.43856529915363
lqr_051,8,8,5,1.0,0.625,3.9050000000000002,0.13844451127697488,0.8653820123966964,0.4294372148126632,0.4294372148126632,0.43493725682711326,0.0,0.0,43.24250678168307
lqr_052,8,8,2,1.0,0.25,6.48,0.13002015989966992,1.1208453815391504,0.5826671912125811,0.5826671912125811,0.5935563346904964,0.0,0.0,47.59284194500389
lqr_053,8,8,4,1.0,0.5,8.190000000000001,0.12962098112359163,1.1020966006983857,0.5771387191022196,0.5771387191022196,0.5878487885979489,0.0,0.0,48.10744063149377
lqr_054,8,8,2,1.0,0.25,9.5525,0.12839707128085404,1.4963253429413306,1.0090861587158164,1.0090861587158164,1.0323065438670307,0.0,0.0,53.206672147943884
lqr_055,8,8,2,1.0,0.25,9.5,0.1277931928257211,1.4778375392330791,1.0473992465263777,1.0473992465263777,1.0709311726217863,0.0,0.0,53.54564841024323
lqr_056,8,8,5,1.0,0.625,3.4800000000000004,0.16278649611345736,0.689360840089912,0.34311475184089785,0.34311475184089785,0.3456293062231495,0.0,0.0,30.88570838691905
lqr_057,8,8,5,1.0,0.625,2.495,0.16409199388771017,0.6634717955436003,0.3392207278586751,0.3392207278586751,0.34166902449299297,0.0,0.0,31.920409473559957
lqr_058,8,8,4,1.0,0.5,5.290000000000001,0.14678800391682945,0.8099292473171404,0.3863711355744887,0.3863711355744887,0.3902968668151593,0.0,0.0,35.03449064629465
lqr_059,8,8,4,1.0,0.5,5.18,0.14701375627843677,0.7886921709970818,0.3829979214455997,0.3829979214455997,0.38684752798267896,0.0,0.0,35.73717344322688
lqr_060,8,8,4,1.0,0.5,6.8425,0.1354590653229471,0.9821691048810204,0.47288843895063776,0.47288843895063776,0.47995818181102456,0.0,0.0,39.743603146777154
lqr_061,8,8,5,1.0,0.625,4.99,0.1352369358916706,0.9656402051384374,0.469391999122491,0.469391999122491,0.4763536443496561,0.0,0.0,40.19006495859847
lqr_062,8,8,2,1.0,0.25,6.575,0.12984459163081602,1.2586110003865216,0.668001259742749,0.668001259742749,0.6817354775731664,0.0,0.0,44.884042217980635
lqr_063,8,8,2,1.0,0.25,6.545,0.12948602306442653,1.2453900512229563,0.662743841358737,0.662743841358737,0.6763170981706936,0.0,0.0,45.162196989323384
