method_id,family,case_count,all_safety_rate,all_catastrophic_count,all_deadline_miss_rate,overall_success_rate,nominal_case_count,nominal_success_rate,nominal_setpoint_success_rate,nominal_trajectory_success_rate,nominal_setpoint_rmse_m,nominal_trajectory_rmse_m,nominal_endpoint_position_error_m,nominal_endpoint_velocity_error_m_s,challenge_case_count,challenge_success_rate,challenge_setpoint_rmse_m,challenge_trajectory_rmse_m,challenge_rmse_m,challenge_endpoint_position_error_m,challenge_endpoint_velocity_error_m_s,strong_mean_m,strong_p90_m,orientation_rmse_rad,acquisition_time_s,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,nominal_calm_success_rate,nominal_moderate_success_rate,nominal_stochastic_success_rate
r1r3_pid_local_009,native_pid,42,1.0,0,8.928571428571429e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.8071214078933817,0.3216407170552291,0.6304897752337494,0.5131306260416154,6,0.16666666666666666,1.4811687770118453,0.7353487698679485,1.1082587734398968,1.6947162775574292,0.6219260529784875,0.9972635974762843,1.60869150260933,0.027121109539835375,3.325,16873.471573766918,0.0,0.0,1.5492282564250406,0.092045123015873,0.144195,0.19270923000000006,18.6623,0.4166666666666667,0.08333333333333333,0.4166666666666667
r1r3_pid_local_006,native_pid,42,1.0,0,0.00010912698412698413,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.7830701753431315,0.338533732493165,0.6700713657544027,0.3988944027744681,6,0.16666666666666666,1.5384359075152723,0.8092430964625833,1.173839501988928,1.9742774807685226,0.42535170888280965,1.0614718921362658,1.747198723753259,0.02407635252522006,3.4099999999999997,16874.34122756168,0.0,0.0,1.5257239363909594,0.09478706613756613,0.15318525,0.23027600000000017,20.8415,0.4166666666666667,0.08333333333333333,0.4166666666666667
r1r3_pid_local_018,native_pid,42,1.0,0,8.597883597883597e-05,0.2619047619047619,36,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.7433979584782422,0.3314954302079966,0.7011468832164345,0.7058033049808423,6,0.16666666666666666,1.1680925498880181,0.7598486067164147,0.9639705783022166,1.5376334821119668,0.8179040049449754,0.8696621810247369,1.2862225060731842,0.026539175430004766,3.915,16880.680138530483,0.0,0.0,1.6443132638831222,0.09344185846560846,0.14629474999999992,0.20179141000000003,19.0622,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_pid_local_011,native_pid,42,1.0,0,8.597883597883597e-05,0.2619047619047619,36,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.8167388692098394,0.34949051169379464,0.7221940025901392,0.3241794876271743,6,0.16666666666666666,1.6107490286132868,0.8424323151981854,1.2265906719057362,2.136043402702932,0.31453718605641495,1.1293797934449148,1.8974106057512043,0.023060925604093428,3.4,16871.81638596237,0.0,0.0,1.3967538755906195,0.09096755224867724,0.1429197499999998,0.19393031000000013,18.345599999999997,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_pid_local_002,native_pid,42,1.0,0,8.597883597883597e-05,0.2619047619047619,36,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.8354955122430054,0.3492775551935422,0.7255802217832065,0.3259721882600057,6,0.16666666666666666,1.625356388391581,0.8408428206447024,1.2330996045181415,2.1384081323232085,0.3060443392130127,1.1419038259714895,1.9241356649179457,0.023072860301650358,3.4,16870.337555426635,0.0,0.0,1.3477062297302882,0.09509763690476189,0.14789974999999994,0.20132782000000005,19.3793,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_pid_local_003,native_pid,42,1.0,0,8.928571428571429e-05,0.2619047619047619,36,0.2777777777777778,0.16666666666666666,0.3888888888888889,0.9509023456487122,0.34740425436344574,0.835114042185282,0.40404486046541055,6,0.16666666666666666,1.7048004148080682,0.8195111703626271,1.2621557925853477,2.154346144521984,0.34080727401433597,1.181847915411547,1.9709949565883447,0.025673089049869525,2.915,16867.471563960036,0.0,0.0,1.3565501841652103,0.09618062037037037,0.149085,0.21138451000000033,20.622,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_pid_local_019,native_pid,42,1.0,0,8.597883597883597e-05,0.2619047619047619,36,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.8394207527808455,0.3152621503209276,1.171481237517887,0.6290954322849975,6,0.16666666666666666,1.0968712333505992,0.6775853161267102,0.8872282747386547,1.5241140618758464,0.802768466142329,0.8322195388541124,1.1246007575547876,0.03309649534688682,3.67,16887.213904505355,0.0,0.0,2.7794443149571078,0.0928479126984127,0.14448499999999992,0.1954935400000001,19.9864,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_pid_local_014,native_pid,42,0.9761904761904762,1,9.92063492063492e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.8020603468281639,0.3288230933162439,0.7466365427013445,0.9701863276800169,6,0.16666666666666666,1.241874788100365,0.7399427637682946,0.9909087759343298,1.4918664990019044,1.0813072438663398,0.8869311912128162,1.2579055699142774,0.03546268995569001,3.26,16874.66226256321,0.0,0.0,3.0255152802711107,0.09204473148148147,0.142985,0.18513800000000005,18.6986,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_pid_local_020,native_pid,42,0.9523809523809523,2,8.597883597883597e-05,0.30952380952380953,36,0.3055555555555556,0.1111111111111111,0.5,0.9179136509903157,0.31205074870751637,1.3434055957152848,0.5537867631415994,6,0.3333333333333333,1.1232256459709558,0.6566928860212369,0.8899592659960961,1.620842492368819,0.656508072667256,0.8514497301032447,1.1308374554126508,0.04539776732225934,3.4400000000000004,16856.380624797865,3.1746031746031745e-05,0.0,4.596991401900383,0.09357349636243387,0.14637474999999991,0.20082664000000003,19.6621,0.4166666666666667,0.08333333333333333,0.4166666666666667
r1r3_pid_local_017,native_pid,42,0.9523809523809523,2,9.259259259259259e-05,0.2619047619047619,36,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.8549647869627531,0.31746960386859785,1.2210831112379152,0.8680049890758957,6,0.16666666666666666,1.1605899034261118,0.6788447628801225,0.9197173331531171,1.578856476467382,1.0231034214154242,0.8485489014810652,1.1397927479697167,0.042725099702120094,3.45,16858.752689255278,0.0,0.0,4.503473766212236,0.09532031812169313,0.1474699999999999,0.21091128000000017,20.767899999999997,0.4166666666666667,0.08333333333333333,0.3333333333333333
r1r3_pid_local_022,native_pid,42,0.9523809523809523,2,8.597883597883597e-05,0.21428571428571427,36,0.2222222222222222,0.0,0.4444444444444444,0.8754937031403888,0.3205727130670613,1.334412891995165,1.0462232310494615,6,0.16666666666666666,1.1601597109772703,0.6829364773338317,0.9215480941555511,1.610703927276682,1.0157603395471866,0.8645421539086711,1.1682130580888024,0.0479742601172885,3.395,16847.31072168565,0.0005595238095238096,0.0,4.762188323856185,0.09241381150793651,0.14388525,0.19519023000000016,18.545299999999997,0.4166666666666667,0.08333333333333333,0.16666666666666666
r1r3_pid_local_023,native_pid,42,0.9047619047619048,4,0.00011574074074074075,0.23809523809523808,36,0.25,0.0,0.5,1.1458434336147336,0.31152314781660634,1.9434426757937626,0.5537445447070674,6,0.16666666666666666,1.3347543521905365,0.6000595438636659,0.9674069480271013,2.1056705231918897,0.6240096258152461,0.981183061013059,1.5054963906128147,0.14739733060889057,3.03,16708.991722448573,0.007678571428571429,0.000376984126984127,8.377732839140888,0.09627893287037038,0.14747025,0.21929338000000018,19.709899999999998,0.3333333333333333,0.16666666666666666,0.25
r1r3_pid_local_015,native_pid,42,0.9047619047619048,4,8.597883597883597e-05,0.21428571428571427,36,0.2222222222222222,0.0,0.4444444444444444,0.9063536680381696,0.32095584244813324,1.2445441403279387,1.2177793543153124,6,0.16666666666666666,1.240725773590389,0.6834067594357079,0.9620662665130485,1.627511753299167,1.2948686328701882,0.8843395354069092,1.1991270448763252,0.061322395206748724,2.8850000000000002,16807.139128062634,0.001130952380952381,0.0,6.402542076559025,0.09233499305555555,0.1459,0.19541913000000014,19.1361,0.4166666666666667,0.08333333333333333,0.16666666666666666
r1r3_pid_local_021,native_pid,42,0.8571428571428571,6,8.597883597883597e-05,0.21428571428571427,36,0.2222222222222222,0.05555555555555555,0.3888888888888889,1.1274841334990096,0.3082317274057497,1.7713021333849346,0.6209974368316753,6,0.16666666666666666,1.2785374857382854,0.597909412968712,0.9382234493534987,1.9041988999265873,0.442207182928269,0.9583941345824241,1.4483833293876738,0.12630804392401962,3.08,16707.178549329143,0.006797619047619047,0.000373015873015873,8.211101272933547,0.09256241534391534,0.14360474999999992,0.19539054000000003,18.6755,0.3333333333333333,0.08333333333333333,0.25
