time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x
6.47,0.012698797655159575,0.12817804210517736,0.2956989223052641,0.04222596552611341,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14935966177431143,-9.202735374190466e-17,3.1999341630056173,0.3623578190454118,-1.2724443859653622e-16,0.38880220093582685,0.375,0.0,0.38999999999999996,0.15820630474535485,129.90607266389736,0.022697594191412998,0.019,0.0124739868095437
6.4750000000000005,0.013338916374646936,0.12793284014492126,0.3078255915116344,0.04243595629919857,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14930535339806592,-9.14722951295837e-17,3.199933402928762,0.3617191665539038,-1.263935769398409e-16,0.3887565559816073,0.375,0.0,0.38999999999999996,0.10254122881757988,129.90612288126113,0.024829825045919074,0.019,0.006482598826364396
6.48,0.013977805192011012,0.12767819098465966,0.32001151583598125,0.04263356600298463,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14925038192731915,-9.091485414279423e-17,3.199932657742537,0.3610817736578682,-1.255374234978533e-16,0.38871080898428567,0.375,0.0,0.38999999999999996,-0.005195910706101342,129.90617282929819,0.026936526240939104,0.019,0.0006991666530301438
6.485,0.014615409960728167,0.1274126861459622,0.33224565564584657,0.04276782942654696,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14919474547016068,-9.035505491076288e-17,3.199931927940979,0.3604456882994338,-1.246760103535135e-16,0.38866500215621375,0.375,0.0,0.38999999999999996,0.04918722839304923,129.90622247092165,0.029017272868806038,0.019,0.0026575824599210096
6.49,0.015251665882280656,0.12713362618312388,0.34451192168530514,0.042860319076286894,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14913844844191207,-8.979292180697626e-17,3.1999312140252893,0.3598109678823714,-1.2380936964196618e-16,0.3886191975107315,0.375,0.0,0.38999999999999996,0.15653391892551816,129.9062717693913,0.031069563675206774,0.019,0.012264247147045399
6.495,0.015886499719103206,0.12683961365749846,0.3568017989093271,0.042934172959936304,True,False,0.04227167151558345,-6.491240530424313e-16,0.0016793869089869202,0.14908150709383797,-8.922847944830155e-17,3.199930516507582,0.3591776814665377,-1.2293753415240597e-16,0.3885734273412397,0.375,0.0,0.38999999999999996,0.08949256985643998,129.90632068785936,0.033090603209368866,0.019,0.005368478553957598
6.5,0.01651984599949744,0.12653505698378903,0.3691072817891285,0.04297050178485443,True,False,0.04382476405219003,-6.39188338043771e-16,0.0015749458922163229,0.14902393175609038,-8.866175269510407e-17,3.199929835897255,0.3585458908163949,-1.2206053698575043e-16,0.38852772189409973,0.375,0.0,0.38999999999999996,0.10645838074919664,129.9049771090781,0.03263517195142525,0.0184,0.006830680204499374
6.505,0.017151646082312122,0.126218129566385,0.3814204834224473,0.04298877622182386,True,False,0.04382476405219003,-6.39188338043771e-16,0.0015749458922163229,0.14896572703056762,-8.809276183453218e-17,3.199929171398925,0.3579156512583095,-1.2117842779275744e-16,0.38848210955428575,0.375,0.0,0.38999999999999996,0.2547041911898975,129.9050267932758,0.03468606741526406,0.0184,0.027712923841445813
6.51,0.01778182707604789,0.12588471354077527,0.39374043716270435,0.043017355046539175,True,False,0.04382476405219003,-6.39188338043771e-16,0.0015749458922163229,0.1489069198217564,-8.752152739911342e-17,3.1999285222314864,0.35728703501959413,-1.2029125680681781e-16,0.3884365916191265,0.375,0.0,0.38999999999999996,0.06649576067322488,129.9050760424818,0.03670471333300622,0.0184,0.003678660626683097
6.515000000000001,0.018410330925012194,0.1255450032036221,0.406060974737387,0.042993737424641694,True,False,0.04382476405219003,-6.39188338043771e-16,0.0015749458922163229,0.1488475162805717,-8.694807498169823e-17,3.1999278889129212,0.3566600976405728,-1.1939905802285794e-16,0.38839119105698094,0.375,0.0,0.38999999999999996,0.011117150233498636,129.90512482233507,0.038697990250104716,0.0184,0.0010591092063869723
