candidate_id,stage1_rank,sample_id,safe,solver_success,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max
of_ts_rmpc_013,2,wind_1p5__+y_r0.25,True,True,False,,0.15618161017826024,0.15268727383993236,,,0.039372408424913755,0.9553,0.0
of_ts_rmpc_013,2,wind_3p0__+y_r0.25,True,True,False,,0.30674993048578353,0.6107449765506069,,,0.5739843075582608,0.9739,0.0
of_ts_rmpc_013,2,calm__-y_r0.25,True,True,True,5.34,0.15545997022509506,0.0,,,0.011157213245573894,0.9473,4.930380657631324e-32
of_ts_rmpc_013,2,wind_1p5__-y_r0.25,True,True,False,,0.15618161017826024,0.15268727383993236,,,0.039372408424913755,0.9624,0.0
of_ts_rmpc_013,2,wind_3p0__-y_r0.25,True,True,False,,0.30674993048578353,0.6107449765506069,,,0.5739843075582608,0.9501,0.0
of_ts_rmpc_013,2,calm__+z_r0.25,True,True,True,1.25,0.05180510724881431,0.0,,,0.2795887855244298,0.9503,3.0814879110195774e-33
of_ts_rmpc_013,2,wind_1p5__+z_r0.25,True,True,False,,0.08458097907382742,0.15314751596921475,,,0.31306984379244457,0.9454,0.0
of_ts_rmpc_013,2,wind_3p0__+z_r0.25,True,True,False,,0.2770893147972848,0.6115570055575897,,,0.8483614757164393,0.9309,0.0
of_ts_rmpc_013,2,calm__-z_r0.25,True,True,True,1.25,0.05180510724881431,0.0,,,0.2795887855244335,0.9401,3.0814879110195774e-33
of_ts_rmpc_013,2,wind_1p5__-z_r0.25,True,True,False,,0.08456667914700683,0.15248071784960296,,,0.3118198120074613,0.9209,0.0
of_ts_rmpc_013,2,wind_3p0__-z_r0.25,True,True,False,,0.2773466750364647,0.6084783167463061,,,0.8459927295393691,1.0259,0.0
of_ts_rmpc_013,2,stochastic_dev_0000,True,True,True,2.1950000000000003,0.06227295376347479,0.30421808820465884,,,0.05449552735036378,0.9842,1.3877787807814457e-17
of_ts_rmpc_013,2,stochastic_dev_0001,True,True,True,3.135,0.04980753641146293,0.4206805217773224,,,0.0575467861851965,0.9209,8.673617379884035e-19
of_ts_rmpc_013,2,stochastic_dev_0002,True,True,True,6.140000000000001,0.0920182027478455,0.22580737632974837,,,0.016630594276316184,0.9318,1.734723475976807e-18
of_ts_rmpc_013,2,stochastic_dev_0003,True,True,True,5.040000000000001,0.08735413454336109,0.1733037967408618,,,0.010433201481045144,0.9644,8.673617379884035e-19
of_ts_rmpc_013,2,stochastic_dev_0004,True,True,True,1.005,0.03630959812864379,0.20976973729983706,,,0.12363471734226483,0.9394,1.734723475976807e-18
of_ts_rmpc_013,2,stochastic_dev_0005,True,True,True,0.9849999999999999,0.03552497232144862,0.13366617947869566,,,0.1180971429524935,0.9826,8.673617379884035e-19
of_ts_rmpc_013,2,stochastic_dev_0006,True,True,True,2.66,0.09776472551557835,0.47779523472547963,,,0.12192368342917086,0.9375,5.01172978784048e-07
of_ts_rmpc_013,2,stochastic_dev_0007,True,True,True,2.0,0.05583632112079058,0.25891814271568603,,,0.10931088374250582,0.9402,4.64912203068657e-07
of_ts_rmpc_013,2,stochastic_dev_0008,True,True,True,5.555,0.14331557125357297,0.14416093029464727,,,0.021198379592159748,0.9802,3.469446951953614e-18
of_ts_rmpc_013,2,stochastic_dev_0009,True,True,True,5.385,0.14133956048630278,0.06788130267671418,,,0.008221890195507849,0.9378,8.673617379884035e-19
of_ts_rmpc_013,2,stochastic_dev_0010,True,True,True,1.25,0.06630994261782644,0.3490462183453534,,,0.30284074929654914,1.0011,1.734723475976807e-18
of_ts_rmpc_013,2,stochastic_dev_0011,True,True,True,1.25,0.05224557549546258,0.07117425919761017,,,0.280776381274606,0.9521,8.673617379884035e-19
of_ts_rmpc_013,2,stochastic_dev_0012,True,True,True,2.0549999999999997,0.051532784101410135,0.2322740664208642,,,0.04684091861766838,1.0164,1.1292212503954957e-07
of_ts_rmpc_013,2,stochastic_dev_0013,True,True,True,2.295,0.05877086772380383,0.28864512459510117,,,0.05429484395713972,0.9822,2.8194889867272366e-08
of_ts_rmpc_013,2,stochastic_dev_0014,True,True,True,4.965,0.08746811276946764,0.19015995185726645,,,0.014024522400072967,1.0266,1.734723475976807e-18
of_ts_rmpc_013,2,stochastic_dev_0015,True,True,True,5.120000000000001,0.08681760872662807,0.10991923315310903,,,0.009594805063006114,0.9491,8.673617379884035e-19
of_ts_rmpc_013,2,stochastic_dev_0016,True,True,True,0.9950000000000001,0.03306785397770238,0.153040614154224,,,0.11818902797996643,0.9283,1.734723475976807e-18
of_ts_rmpc_013,2,stochastic_dev_0017,True,True,True,1.0,0.04036730998584038,0.15918006710539612,,,0.13145340598669986,0.9674,3.469446951953614e-18
of_ts_rmpc_013,2,stochastic_dev_0018,True,True,True,2.9299999999999997,0.09821646230389852,0.39955335914222867,,,0.10924817062544788,1.0306,4.618488236296514e-07
of_ts_rmpc_013,2,stochastic_dev_0019,True,True,True,3.1550000000000002,0.086531701845174,0.5007638967200736,,,0.11592557924475262,1.0014,4.377254413379106e-07
of_ts_rmpc_013,2,ramp_dev_0_to_3p0,True,True,True,0.0,0.16302961755140893,0.3488933354375833,0.1760487314891741,0.26883365967802453,0.25022928409734857,0.9235,0.0
of_ts_rmpc_025,3,calm__+x_r0.15,True,True,True,2.08,0.05385898345971476,0.24930383278113277,,,0.04491005247341831,1.0355,0.0
of_ts_rmpc_025,3,wind_1p5__+x_r0.15,True,True,False,,0.0640388258520794,0.291613857266419,,,0.07500652379309257,1.0037,1.3877787807814457e-17
of_ts_rmpc_025,3,wind_3p0__+x_r0.15,True,True,False,,0.25096983583309573,0.6643145222435775,,,0.5978007357400594,0.9423,1.3877787807814457e-17
of_ts_rmpc_025,3,calm__-x_r0.15,True,True,True,2.08,0.05385611498894508,0.2493281883925556,,,0.044916550665057176,0.9389,0.0
of_ts_rmpc_025,3,wind_1p5__-x_r0.15,True,True,False,,0.10364063170469692,0.27070337312087284,,,0.07926768246526347,1.0385,6.938893903907228e-18
of_ts_rmpc_025,3,wind_3p0__-x_r0.15,True,True,False,,0.30236927495228755,0.6354135744797773,,,0.6244078686124683,1.3052,0.0
of_ts_rmpc_025,3,calm__+y_r0.15,True,True,True,4.955,0.09327564472024619,0.0,,,0.004016286707764588,1.2359,4.930380657631324e-32
of_ts_rmpc_025,3,wind_1p5__+y_r0.15,True,True,False,,0.10789502420605782,0.1526857560175111,,,0.03522139401529323,0.9763,0.0
of_ts_rmpc_025,3,wind_3p0__+y_r0.15,True,True,False,,0.28520400195956497,0.6107293568403918,,,0.5698028210255331,1.0075,0.0
of_ts_rmpc_025,3,calm__-y_r0.15,True,True,True,4.955,0.09327564472024619,0.0,,,0.004016286707764588,0.8885,4.930380657631324e-32
of_ts_rmpc_025,3,wind_1p5__-y_r0.15,True,True,False,,0.10789502420605782,0.1526857560175111,,,0.03522139401529323,1.0067,0.0
of_ts_rmpc_025,3,wind_3p0__-y_r0.15,True,True,False,,0.28520400195956497,0.6107293568403918,,,0.5698028210255331,1.1989,0.0
of_ts_rmpc_025,3,calm__+z_r0.15,True,True,True,0.99,0.029780750412311516,0.0,,,0.11217005724800687,1.0644,3.0814879110195774e-33
of_ts_rmpc_025,3,wind_1p5__+z_r0.15,True,True,False,,0.07319128310002337,0.1529473020765962,,,0.14556576990864253,1.002,0.0
of_ts_rmpc_025,3,wind_3p0__+z_r0.15,True,True,False,,0.27388622077484537,0.6115058551039246,,,0.6810772735841772,1.1094,0.0
of_ts_rmpc_025,3,calm__-z_r0.15,True,True,True,0.99,0.029780750412311496,0.0,,,0.11217005724800738,1.1015,7.703719777548943e-34
of_ts_rmpc_025,3,wind_1p5__-z_r0.15,True,True,False,,0.07316987633354949,0.15251678087231985,,,0.14447567513047152,1.0367,0.0
of_ts_rmpc_025,3,wind_3p0__-z_r0.15,True,True,False,,0.2740318896910002,0.6083552011755291,,,0.6784725880901569,1.0425,0.0
of_ts_rmpc_025,3,calm__+x_r0.25,True,True,True,2.61,0.09073939481538267,0.41643643446838413,,,0.10806982376380012,1.0491,4.433274327642067e-07
of_ts_rmpc_025,3,wind_1p5__+x_r0.25,True,True,False,,0.08479957066887304,0.4378876637196316,,,0.135508709336508,1.0796,2.870934041609985e-07
of_ts_rmpc_025,3,wind_3p0__+x_r0.25,True,True,True,0.0,0.24219070652551053,0.7382252306482843,,,0.6484706038293817,1.0321,9.289451927962933e-07
of_ts_rmpc_025,3,calm__-x_r0.25,True,True,True,2.61,0.09073192193576231,0.41637990851398893,,,0.1081335140083081,1.0311,4.4337002658156877e-07
of_ts_rmpc_025,3,wind_1p5__-x_r0.25,True,True,False,,0.13593672114833452,0.41183925677083094,,,0.14241725116321008,0.9641,6.130338553456127e-07
of_ts_rmpc_025,3,wind_3p0__-x_r0.25,True,True,False,,0.3269749445177031,0.6932393651629655,,,0.693329509077816,1.0039,2.6980491127925887e-06
of_ts_rmpc_025,3,calm__+y_r0.25,True,True,True,5.34,0.15545997022509508,0.0,,,0.011157213245573897,0.9859,4.930380657631324e-32
of_ts_rmpc_025,3,wind_1p5__+y_r0.25,True,True,False,,0.15618161084708038,0.15268712315309263,,,0.03937234709618708,1.0164,0.0
of_ts_rmpc_025,3,wind_3p0__+y_r0.25,True,True,False,,0.30675009345575976,0.6107417510002755,,,0.5739847398344852,1.3221,0.0
of_ts_rmpc_025,3,calm__-y_r0.25,True,True,True,5.34,0.15545997022509508,0.0,,,0.011157213245573897,1.0369,4.930380657631324e-32
