candidate_id,beta,w_p,w_theta,R,H,sample_count,safe_sample_count,solver_success_count,solver_success_rate,task_success_count,task_success_rate,acquisition_median_s,position_rmse_3d_m,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms
of_ts_rmpc_017,0.15,80.0,5.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.085,0.1773911816858668,0.17708925193575462,0.2726119812842905,0.3463239130658001,1.001
of_ts_rmpc_018,0.15,80.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.075,0.17216362057278622,0.1696985598244726,0.26193125844509024,0.38762909417129476,1.0754
of_ts_rmpc_019,0.15,80.0,20.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.09,0.1782741785067554,0.17800744314995007,0.27428280318008463,0.3448771881029963,1.5494
of_ts_rmpc_020,0.15,160.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.15,0.17795044926357184,0.17026703559273584,0.2690778303722819,0.4011632187688077,1.5175
of_ts_rmpc_021,0.15,160.0,5.0,2.0,20,9,9,2169,1.0,5,0.5555555555555556,2.13,0.18194222274237595,0.1789009937487259,0.2794219711835792,0.34578554396461075,1.4516
of_ts_rmpc_022,0.15,160.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.16,0.17995913922297635,0.17240174115404733,0.27287728401924777,0.39205829838307654,1.5518
of_ts_rmpc_023,0.15,160.0,20.0,2.0,20,9,9,2169,1.0,5,0.5555555555555556,2.13,0.18276214009261468,0.1797534039528343,0.2809710724172421,0.3443742046172212,1.4109
of_ts_rmpc_024,0.3,40.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.0100000000000002,0.1647887056398568,0.16496641999144962,0.24969520801344788,0.39523386926244264,1.5701
of_ts_rmpc_025,0.3,40.0,5.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.08,0.17496903234425212,0.17604888361529847,0.2688345494923344,0.34669651442623134,1.4373
of_ts_rmpc_026,0.3,40.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.025,0.16739713009685792,0.16772980874062468,0.25466372379675006,0.3863382810342961,1.5567
of_ts_rmpc_027,0.3,40.0,20.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.08,0.1758862647151852,0.17700477273735196,0.27057458327390804,0.34523401530006825,1.6779
of_ts_rmpc_028,0.3,80.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.06,0.16980785681783572,0.1671968740929507,0.25745170002102347,0.39637493459122447,1.623
of_ts_rmpc_029,0.3,80.0,5.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.085,0.177391286656692,0.1770893984566497,0.27261284842446126,0.3463233953553382,1.4009
of_ts_rmpc_030,0.3,80.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.075,0.1721637200244854,0.16969871537688425,0.2619320428727557,0.38762789656395813,1.0886
of_ts_rmpc_031,0.3,80.0,20.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.09,0.1782742861860156,0.17800758828366883,0.27428367501330686,0.3448768056189861,1.4422
of_ts_rmpc_032,0.3,160.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.15,0.17795054539545271,0.1702671776319585,0.26907854221300026,0.40116203403825323,1.5423
of_ts_rmpc_033,0.3,160.0,5.0,2.0,20,9,9,2169,1.0,5,0.5555555555555556,2.13,0.1819423252227887,0.17890113067121438,0.2794227979158642,0.34578495102722795,1.6186
of_ts_rmpc_034,0.3,160.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.16,0.1799592391140621,0.17240188032035958,0.2728780073091719,0.39205719976149045,1.3451
of_ts_rmpc_035,0.3,160.0,20.0,2.0,20,9,9,2169,1.0,5,0.5555555555555556,2.13,0.18276224217076942,0.17975353967075966,0.2809719032199397,0.3443736131604282,1.3353
