sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign,residual_clip_fraction_mean,residual_clip_fraction_p95,residual_clip_fraction_max,trust_mean,trust_p95,trust_max,residual_unrepresented_norm_mean,residual_unrepresented_norm_p95,residual_unrepresented_norm_max,residual_debt_norm_mean,residual_debt_norm_p95,residual_debt_norm_max,steady_equality_residual_mean,steady_equality_residual_p95,steady_equality_residual_max,steady_task_residual_mean,steady_task_residual_p95,steady_task_residual_max,requested_steady_input_max_abs_mean,requested_steady_input_max_abs_p95,requested_steady_input_max_abs_max,feasible_steady_input_max_abs_mean,feasible_steady_input_max_abs_p95,feasible_steady_input_max_abs_max,backbone_norm_mean,backbone_norm_p95,backbone_norm_max,qp_correction_norm_mean,qp_correction_norm_p95,qp_correction_norm_max,limiter_mismatch_mean,limiter_mismatch_p95,limiter_mismatch_max,steady_infeasibility_fraction,steady_constraint_activity_fraction,reachable_constraint_activity_fraction,solver_success_rate,qp_iterations_max
v5d_strong_post_target_aligned_01,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.33581478268367104,3.770086449359574,0.6231484840315348,0.4228137778192564,16.602750078082913,2.0,0.25,135.7777764183669,1.239542647422716,0.47414066087514517,[],0.0266,0.6473029045643154,0.7717842323651453,aligned,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_aligned_02,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,True,2.06,0.22684717879771893,0.8451644965027952,0.29663557858414474,0.30163536565767424,1.1850699548746864,1.0,0.25000000000000006,136.57965496834652,1.0140928246475003,0.1520508005765013,[],0.0365,0.0,0.07468879668049792,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_aligned_03,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.23459247230556957,0.8488055771853938,0.2976885252712905,0.30164256129615546,1.5902245958357606,1.2193602774901295,0.25,133.02103087355766,1.2543566552011598,0.15398973704186222,[],0.0386,0.0,0.07053941908713693,aligned,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_aligned_04,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.22907076232556983,0.7747704845542188,0.29516312341381934,0.30164607718749176,1.2569042361045564,1.0149016199757084,0.25,130.628112804556,1.042756743166603,0.14573578740654108,[],0.0265,0.0,0.04149377593360996,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_aligned_05,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.23192731207382808,0.8266416595470123,0.2972585538856961,0.3016605638226948,1.471919539170099,1.007238856529161,0.25000000000000006,139.8603615169323,1.0164897078146025,0.15140738099272377,[],0.0385,0.0,0.06639004149377593,aligned,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_opposed_00,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,True,2.065,0.22779368024256105,0.8163448739984289,0.2928166810471853,0.30173409853400135,1.290900245709961,1.0026160660408503,0.25,131.8979267769066,1.0080957070749315,0.1558598061535011,[],0.039,0.0,0.07468879668049792,opposed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_opposed_01,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,True,1.915,0.22754763464716649,0.7889414787599274,0.292393006085128,0.3017793312478639,1.2395856527559275,1.0168302888588063,0.25000000000000006,143.44450097406929,0.9972837304884228,0.11553799968423564,[],0.0481,0.0,0.058091286307053944,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_opposed_02,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,True,1.98,0.22615678028804012,0.8062122384940255,0.2926898705222725,0.3017466696038494,1.1598692035714062,0.9758151337012206,0.25000000000000006,139.8586093106389,1.015009592542287,0.14565840229776936,[],0.0387,0.0,0.07053941908713693,opposed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_opposed_03,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.23425834643442114,0.8645708504117472,0.2929690022817701,0.3018008043769209,1.5431241221631373,1.0682161644956631,0.25,131.12764638190063,1.0427374338608328,0.16420782797878886,[],0.0401,0.008298755186721992,0.08298755186721991,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_opposed_04,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,True,1.69,0.22468391363853382,0.7624115841911799,0.2922412502089418,0.30174181417703516,1.0422585644196731,0.915712066373989,0.25,133.06442520389882,0.9501825120077526,0.11998025431515534,[],0.028,0.0,0.03734439834024896,opposed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
