sample_id,task_family,wind_kind,wind_direction,safe,success,safety_reasons,failure_mechanism,endpoint_position_error_m,endpoint_velocity_error_m_s,position_rmse_m,velocity_rmse_m_s,orientation_rmse_rad,max_requested_or_applied_thrust_N,max_requested_or_applied_torque_Nm,thrust_saturation_rate,torque_saturation_rate,max_true_external_force_N,runtime_mean_ms,runtime_p95_ms,semantic_fingerprint,execution_authority
native_development_088,setpoint,strong_sustained,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height"",""uav_workspace""]",SAFETY_OR_AUTHORITY_LIMIT,8.703861023072974,0.014259373644104121,6.164741126581378,1.995823283920989,3.0864422406091094,140.49333571169376,"[25.0,25.0,12.0]",0.477,0.6101666666666666,5.6198528935897345,0.0782003125,0.13069999999999998,bd2287650393de7f1c5f356a9f09875c9fd8ec9b874b7351e6d6271d227beb5e,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_089,smooth_trajectory,strong_sustained,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,1.7142637457166434,0.0015276975200536464,1.6578641375861851,1.750764980955525,2.048186587351783,148.83541831600866,"[25.0,12.33001278182154,12.0]",0.39008333333333334,0.47591666666666665,36.411469450771655,0.07962722916666665,0.1343,bd21e34b72e59a1ba2562f8dd14408482a32a8916bd9d1d1430abd8a4b00f204,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_090,setpoint,strong_transient,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,1.7503117472806458,0.31916282559345377,1.569172176323338,1.695170877578256,1.8026548427675195,146.4427944940251,"[25.0,25.0,12.0]",0.40175,0.4826666666666667,19.83241614592389,0.07941489583333333,0.13219999999999998,84e976526ae68dc6f64503b7e437d7857331f598459ce1e98ee6097ba2d51ca9,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_091,smooth_trajectory,strong_transient,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,2.95365470469139,0.23131477619860402,1.128018361886211,1.6859761276177916,1.0943314781281088,143.15834856574423,"[25.0,25.0,12.0]",0.08366666666666667,0.18275,5.446194070964653,0.07612882638888888,0.12969999999999998,fec3befd8f02ff50ff5b763464b3d5229fd5e51fae486301983cbdb65af2d41a,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_092,setpoint,stochastic,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,3.337966160228891,0.0029748502458241525,2.5826370698001457,1.4316123672752237,2.807625470164762,136.95224306341575,"[25.0,25.0,12.0]",0.5381666666666667,0.6340833333333333,17.496573603044116,0.07602458333333333,0.12969999999999998,2e30c9d3b3781731b81e9822ad04f3d6042cd48db1cecc5cb253b2e9a38cb3c0,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_093,smooth_trajectory,stochastic,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,2.347902638293169,5.04873131380583,1.1376816510235435,1.8033342621234631,0.5615623855801641,145.42168514214902,"[25.0,17.85742470279424,12.0]",0.030083333333333333,0.12908333333333333,17.532150931738208,0.0791168125,0.1318,aee99dd75aa44fcafd033fd003b6797b5fdddb64bfcd8d89da73713978c8b4c4,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_094,setpoint,ramp,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,2.6929088861108474,0.0004767287030704184,2.068229588674955,1.8848514109047925,1.1917577947484077,147.9454680699674,"[25.0,22.89608024161417,12.0]",0.36891666666666667,0.4676666666666667,34.23046270743126,0.07551710416666665,0.1288,2d57028fd3c4b532a6d25329450e60b6be2b64a90d444f9081947d76be987a75,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_095,smooth_trajectory,ramp,opposed,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,1.4963527671351244,0.0062046763378171416,1.6206603258630121,1.816764697852539,1.795376136160935,148.88955343906284,"[25.0,25.0,12.0]",0.3729166666666667,0.46475,37.60088244479637,0.07902324305555555,0.1338,4eda93c905113efe84ab3445bea0a294c402e434b67bfdc1ccdba485b5626564,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_096,setpoint,calm,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,1.6496447789195887,0.04297562997655503,1.6413988489871125,1.9997691061865503,2.0999759311227657,149.68204386267294,"[25.0,25.0,12.0]",0.23891666666666667,0.34375,0.4017418669537243,0.07693373611111111,0.1299,779ac123d07a8280c6df2739fd7a69d48982377752bf97164ce84adb9208fd9a,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_097,smooth_trajectory,calm,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,5.180766468312147,3.215249093976117,1.265649203853981,1.850184763690598,0.9867731028144434,140.29414926912617,"[25.0,25.0,12.0]",0.06216666666666667,0.1645,0.15994657182455108,0.07711520833333332,0.1309,b1c107913bf1fb2612fbba20d96e40319c4d9d49e4f8d73a51422df928b811ac,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
